"I0","I1","I2","I3","I4","I5","I6","I7","I8","I9","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","I10","I11","Id"
"21","0","100","15","0","4","15","0","12","23","100","0.5","0.25","0.07608695","0.08","0","0.01","0.01","0","0.0001","0","0","0","22"
"22","0","100","15","0","4","15","0","12","24","100","0.5","0.25","0.07608695","0.08","0","0.01","0.01","0","0.0001","0","0","0","23"
"23","0","100","15","0","4","15","0","13","25","100","0.5","0.25","0.06593407","0.09","0","0.01","0.01","0","0.0001","0","0","0","24"
"24","0","100","15","0","4","15","0","13","26","100","0.5","0.25","0.06593407","0.09","0","0.01","0.01","0.01","0.0001","0","0","0","25"
"25","0","100","15","0","4","15","0","14","27","100","0.5","0.25","0.05555556","0.1","0","0.01","0.01","0.01","0.0001","0","0","0","26"
"26","0","100","15","0","4","15","0","14","28","100","0.5","0.25","0.05555556","0.1","0","0.01","0.01","0.01","0.0001","0","0","0","27"
"27","0","100","15","0","4","15","0","15","29","100","0.5","0.25","0.04494382","0.11","0","0.01","0.01","0.01","0.0001","0","0","0","28"
"28","0","100","15","0","4","15","0","15","30","100","0.5","0.25","0.04494382","0.11","0","0.01","0.01","0.01","0.0001","0","0","0","29"
"29","0","100","15","0","4","15","0","16","31","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","30"
"30","0","100","15","0","4","15","0","16","32","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","31"
"31","0","100","15","0","4","15","0","17","33","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","32"
"32","0","100","15","0","4","15","0","17","34","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","33"
"33","0","100","15","0","4","15","0","17","35","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","34"
"34","0","100","15","0","4","15","0","17","36","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","35"
"35","0","100","15","0","4","15","0","17","37","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","36"
"36","0","100","15","0","4","15","0","17","38","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","37"
"37","0","100","15","0","4","15","0","17","39","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","38"
"38","0","100","15","0","4","15","0","17","40","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","39"
"39","0","100","15","0","4","15","0","17","41","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","40"
"40","0","100","15","0","4","15","0","17","42","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","41"
"41","0","100","15","0","4","15","0","17","43","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","42"
"42","0","100","15","0","4","15","0","17","44","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","43"
"43","0","100","15","0","4","15","0","17","45","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","44"
"44","0","100","15","0","4","15","0","17","46","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","45"
"45","0","100","15","0","4","15","0","17","47","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","46"
"46","0","100","15","0","4","15","0","17","48","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","47"
"47","0","100","15","0","4","15","0","17","49","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","48"
"48","0","100","15","0","4","15","0","17","50","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","49"
"49","0","100","15","0","4","15","0","17","51","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","50"
"50","0","100","15","0","4","15","0","17","52","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","51"
"51","0","100","15","0","4","15","0","17","53","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","52"
"52","0","100","15","0","4","15","0","17","54","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","53"
"53","0","100","15","0","4","15","0","17","55","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","54"
"54","0","100","15","0","4","15","0","17","56","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","55"
"55","0","100","15","0","4","15","0","17","57","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","56"
"56","0","100","15","0","4","15","0","17","58","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","57"
"57","0","100","15","0","4","15","0","17","59","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","58"
"58","0","100","15","0","4","15","0","17","60","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","59"
"59","0","100","15","0","4","15","0","17","61","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","60"
"60","0","100","15","0","4","15","0","17","62","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","61"
"61","0","100","15","0","4","15","0","17","63","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","62"
"62","0","100","15","0","4","15","0","17","64","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","63"
"63","0","100","15","0","4","15","0","17","65","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","64"
"64","0","100","15","0","4","15","0","17","66","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","65"
"65","0","100","15","0","4","15","0","17","67","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","66"
"66","0","100","15","0","4","15","0","17","68","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","67"
"67","0","100","15","0","4","15","0","17","69","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","68"
"68","0","100","15","0","4","15","0","17","70","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","69"
"69","0","100","15","0","4","15","0","17","71","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","70"
"70","0","100","15","0","4","15","0","17","72","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","71"
"71","0","100","15","0","4","15","0","17","73","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","72"
"72","0","100","15","0","4","15","0","17","74","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","73"
"73","0","100","15","0","4","15","0","17","75","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","74"
"74","0","100","15","0","4","15","0","17","76","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","75"
"75","0","100","15","0","4","15","0","17","77","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","76"
"76","0","100","15","0","4","15","0","17","78","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","77"
"77","0","100","15","0","4","15","0","17","79","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","78"
"78","0","100","15","0","4","15","0","17","80","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","79"
"79","0","100","15","0","4","15","0","17","81","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","80"
"80","0","100","15","0","4","15","0","17","82","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","81"
"81","0","100","15","0","4","15","0","17","83","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","82"
"82","0","100","15","0","4","15","0","17","84","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","83"
"83","0","100","15","0","4","15","0","17","85","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","84"
"84","0","100","15","0","4","15","0","17","86","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","85"
"85","0","100","15","0","4","15","0","17","87","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","86"
"86","0","100","15","0","4","15","0","17","88","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","87"
"87","0","100","15","0","4","15","0","17","89","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","88"
"88","0","100","15","0","4","15","0","17","90","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","89"
"89","0","100","15","0","4","15","0","17","91","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","90"
"90","0","100","15","0","4","15","0","17","92","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","91"
"91","0","100","15","0","4","15","0","17","93","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","92"
"92","0","100","15","0","4","15","0","17","94","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","93"
"93","0","100","15","0","4","15","0","17","95","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","94"
"94","0","100","15","0","4","15","0","17","96","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","95"
"95","0","100","15","0","4","15","0","17","97","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","96"
"96","0","100","15","0","4","15","0","17","98","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","97"
"97","0","100","15","0","4","15","0","17","99","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","98"
"98","0","100","15","0","4","15","0","17","100","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","99"
"99","0","100","15","0","4","15","0","17","101","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","100"
"100","0","100","15","0","4","15","0","17","102","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","101"
"101","0","100","15","0","4","15","0","17","103","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","102"
"102","0","100","15","0","4","15","0","17","104","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","103"
"103","0","100","15","0","4","15","0","17","105","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","104"
"104","0","100","15","0","4","15","0","17","106","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","105"
"105","0","100","15","0","4","15","0","17","107","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","106"
"106","0","100","15","0","4","15","0","17","108","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","107"
"107","0","100","15","0","4","15","0","17","109","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","108"
"108","0","100","15","0","4","15","0","17","110","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","109"
"109","0","100","15","0","4","15","0","17","111","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","110"
"110","0","100","15","0","4","15","0","17","112","100","0.5","0.25","0.03409091","0.12","0","0.01","0.01","0.01","0.0001","0","0","0","111"
