"Id","GroupType","F0","F1","I0","I1","I2","I3"
"59","Density","0.1","1","0","1","10","0"
"60","Density","0.06","1","3","1","10","0"
"61","Density","0.05","1","0","2","10","0"
"62","Density","0.07","1","0","2","10","0"
"63","Exactly","0.1","0","3","1","10","0"
"64","Exactly","0","0.5","1","1","10","2"
"65","Exactly","0","0.5","1","1","10","2"
"66","Exactly","0","0.75","1","1","10","1"
"67","Exactly","0","0.75","1","1","10","1"
"68","Exactly","1","0.33","1","1","10","0"
"69","Density","0.4","1","3","2","10","0"
"70","Density","0.4","1","0","2","10","0"
"71","Density","0.4","1","0","1","10","0"
"72","Density","0.4","1","0","1","10","0"
"73","Exactly","0","1","4","2","10","0"
"74","Exactly","1","0.5","1","1","10","2"
"75","Exactly","0","0.75","1","1","10","1"
"76","Exactly","0","0.75","1","1","10","1"
"77","Exactly","1","0.33","1","1","10","0"
"78","Exactly","0","0.5","1","1","10","2"
"79","Exactly","0","0.5","1","1","10","2"
"80","Exactly","0","0.75","1","1","10","1"
"81","Density","0.7","1","0","1","10","0"
"82","Density","0.1","1","1","1","10","0"
"83","Exactly","0","0.5","1","1","10","2"
"84","Exactly","0","0.09999999","1","1","10","1"
"85","Density","0.2","1","0","1","10","0"
"86","Density","0.3","1","0","2","10","0"
"87","Exactly","1","1","0","2","10","0"
"88","Exactly","0.3","1","1","2","10","0"
"89","Density","0.5","1","0","1","10","0"
"90","Density","0.6","1","0","1","10","0"
"91","Density","0.2","1","1","2","10","0"
"92","Density","0.5","1","4","1","10","0"
"93","Density","0.5","0.5","4","1","10","2"
"94","Density","0.3","1","0","1","10","0"
"95","Density","0.3","1","0","2","10","0"
"96","Density","0.3","1","0","1","10","0"
"97","Density","0.3","1","0","2","10","0"
"98","Exactly","0.3","1","1","1","10","2"
"99","Exactly","0.3","1","1","1","10","2"
"100","Density","0.3","1","0","1","10","0"
"101","Density","0.3","1","0","2","10","0"
"102","Exactly","0.3","0.5","1","1","10","2"
"103","Exactly","0.3","0.75","1","1","10","1"
"104","Exactly","0.3","0.75","1","1","10","1"
"105","Density","0.3","1","0","2","10","0"
"106","Density","0.4","1","0","1","10","0"
"107","Density","0.2","1","0","1","10","0"
"108","Density","0.1","1","0","2","10","0"
"109","Density","0.05","1","0","1","10","0"
"110","Density","0.05","1","0","2","10","0"
"111","Exactly","0","0.5","1","1","10","2"
"112","Exactly","1","0.5","1","1","10","2"
"113","Exactly","0","0.5","1","1","10","2"
"114","Exactly","0","0.75","1","1","10","1"
"115","Exactly","0","0.75","1","1","10","1"
"116","Exactly","1","0.33","1","1","10","0"
"117","Density","0.3","1","0","2","10","0"
"118","Density","0.3","1","0","1","10","0"
"119","Density","0.3","1","0","1","10","0"
"120","Density","0.4","1","0","2","10","0"
"121","Exactly","0","0.5","1","1","10","2"
"122","Exactly","0","0.5","1","1","10","2"
"123","Exactly","0.4","0.5","1","1","10","2"
"124","Exactly","0","0.5","1","1","10","2"
"125","Exactly","0","0.75","1","1","10","1"
"126","Exactly","0","0.75","1","1","10","1"
"127","Exactly","0.4","0.75","1","1","10","1"
"128","Exactly","1","0.33","1","1","10","0"
"129","Density","0.3","1","0","2","10","0"
"130","Density","0.2","1","0","1","10","0"
"131","Density","0.3","1","0","1","10","0"
"132","Density","0.2","1","0","2","10","0"
"133","Exactly","1","0.75","1","1","10","0"
"134","Exactly","0","1","1","1","10","2"
"135","Exactly","0","1","1","1","10","2"
"136","Exactly","0.4","1","1","1","10","2"
"137","Exactly","0","1","1","1","10","2"
"138","Exactly","0","1","1","1","10","1"
"139","Exactly","0","1","1","1","10","1"
"140","Exactly","0.4","1","1","1","10","1"
"141","Density","1.5","0","0","1","10","0"
"142","Density","1.2","1","0","1","10","0"
"143","Exactly","0.5","1","3","1","10","0"
"144","Exactly","0","1","2","1","10","0"
"145","Exactly","0","1","2","1","10","0"
"146","Exactly","1","1","3","2","10","0"
"147","Exactly","1","0.5","1","1","10","2"
"148","Exactly","0","0.5","1","1","10","2"
"149","Exactly","0","0.75","1","1","10","1"
"150","Exactly","1","0.75","1","1","10","1"
"151","Exactly","1","0.33","1","1","10","0"
"152","Density","0.1","1","0","1","10","0"
"153","Density","0.05","1","0","2","10","0"
"154","Density","0.025","1","0","3","10","0"
"155","Density","0.1","1","0","1","10","0"
"156","Exactly","1","0.5","1","1","10","2"
"157","Exactly","1","0.5","1","1","10","2"
"158","Exactly","0.2","0.5","1","1","10","2"
"159","Exactly","0","0.75","1","1","10","1"
"160","Exactly","0","0.75","1","1","10","1"
"161","Exactly","0","0.75","1","1","10","1"
"162","Exactly","0","0.75","1","1","10","1"
"163","Exactly","1","0.33","1","1","10","0"
"164","Exactly","4","1","1","2","10","0"
"165","Exactly","4","1","1","1","10","2"
"166","Density","0","1","0","1","10","2"
"167","Density","0","0.75","0","1","10","1"
"168","Density","0","0.75","0","1","10","1"
"169","Density","0.05","1","0","2","10","0"
"170","Density","0.05","1","0","3","10","0"
"171","Density","0.05","1","0","2","10","0"
"172","Density","0.05","1","0","3","10","0"
"173","Exactly","0.2","0.5","1","1","10","2"
"174","Exactly","0","0.5","1","1","10","2"
"175","Exactly","0","0.5","1","1","10","2"
"176","Exactly","0.17","0.5","1","1","10","2"
"177","Exactly","1","0.5","1","1","10","2"
"178","Exactly","0","0.75","1","1","10","1"
"179","Exactly","1","0.75","1","1","10","1"
"180","Exactly","1","0.33","1","1","10","0"
"181","Density","1","1","0","1","10","0"
"182","Exactly","0","0.5","1","1","10","2"
"183","Exactly","0","0.75","1","1","10","1"
"184","Density","0.25","1","0","1","10","0"
"185","Density","0.75","1","0","1","10","0"
"186","Density","1","1","0","1","10","0"
"187","Exactly","0","1","1","1","10","2"
"188","Density","3","1","0","2","10","0"
"189","Density","3","1","0","2","10","0"
"190","Density","0.25","1","0","2","10","0"
"191","Density","0.4","1","0","1","10","0"
"192","Density","0.48","1","0","1","10","0"
"193","Density","0.25","1","0","2","10","0"
"194","Density","0.45","1","0","1","10","0"
"195","Exactly","0","1","0","2","10","0"
"196","Density","0.25","1","0","2","10","0"
"197","Density","0.35","1","0","1","10","0"
"198","Density","0.25","1","0","1","10","0"
"199","Density","0.3","1","0","1","10","0"
"200","Density","1.7","1","0","1","10","0"
"201","Density","1.2","1","0","1","10","0"
"202","Density","1","1","0","1","10","0"
"203","Exactly","0.25","1","3","2","10","0"
"204","Density","1","1","0","1","10","0"
"205","Exactly","0.5","1","1","1","10","0"
"206","Density","2","1","0","1","10","0"
"207","Density","0","0.25","0","1","10","0"
"208","Exactly","0.5","0.75","1","1","10","1"
"209","Exactly","0.5","0.75","1","1","10","1"
"210","Exactly","0","0.33","1","1","10","2"
"211","Exactly","0","0.33","1","1","10","2"
"212","Exactly","1.5","0.5","1","1","10","1"
"213","Density","0.6","1","5","1","10","0"
"214","Density","0.3","1","1","1","10","0"
"215","Density","0.6","1","5","1","10","0"
"216","Exactly","0","1","1","2","10","2"
"217","Density","4","1","2","1","10","0"
"218","Density","4","1","1","1","10","0"
"219","Exactly","1","1","1","1","10","0"
"220","Exactly","0","1","1","1","10","2"
"221","Exactly","0","1","1","1","10","2"
"222","Exactly","0","1","1","1","10","2"
"223","Exactly","0","1","1","1","10","2"
"224","Density","5","1","2","1","10","0"
"225","Density","5","1","5","1","10","0"
"226","Exactly","0","1","1","1","10","2"
"227","Exactly","0","1","1","1","10","2"
"228","Density","4","1","5","1","10","0"
"229","Density","4","1","1","1","10","0"
"230","Density","4","1","2","1","10","0"
"231","Density","4","1","1","1","10","0"
"232","Exactly","0","0.5","1","1","10","2"
"233","Exactly","0","0.5","1","1","10","2"
"234","Density","0.5","1","0","1","10","0"
"235","Density","0.2","1","0","1","10","0"
"236","Density","0.4","1","0","1","10","0"
"237","Density","0.5","1","0","1","10","0"
"238","Density","0.4","1","0","1","10","0"
"239","Exactly","0","0.5","1","1","10","2"
"240","Exactly","0","0.5","1","1","10","2"
"241","Exactly","0","0.5","1","1","10","2"
"242","Exactly","0","0.5","1","1","10","2"
"243","Exactly","0","0.5","1","1","10","2"
"244","Exactly","0","0.75","1","1","10","1"
"245","Exactly","0","0.75","1","1","10","1"
"246","Exactly","0","0.75","1","1","10","1"
"247","Exactly","0","0.75","1","1","10","1"
"248","Exactly","0","0.75","1","1","10","1"
"249","Density","0.4","1","0","1","10","0"
"250","Density","0.3","1","0","1","10","0"
"251","Density","0.2","0.5","0","2","10","0"
"252","Density","0.1","1","0","1","10","0"
"253","Density","0.1","1","0","1","10","0"
"254","Density","0.3","1","0","3","10","0"
"255","Exactly","0","0.5","1","1","10","2"
"256","Exactly","0","0.5","1","1","10","2"
"257","Exactly","0","0.5","1","1","10","2"
"258","Exactly","0","0.5","1","1","10","2"
"259","Exactly","0","0.5","1","1","10","2"
"260","Exactly","0","0.75","1","1","10","1"
"261","Exactly","0","0.75","1","1","10","1"
"262","Exactly","0","0.75","1","1","10","1"
"263","Exactly","0","0.75","1","1","10","1"
"264","Exactly","0","0.75","1","1","10","1"
"265","Density","0.8","1","1","1","10","0"
"266","Exactly","0.6","1","1","2","10","0"
"267","Exactly","0","0.5","1","1","10","1"
"268","Exactly","0","0.5","1","1","10","1"
"269","Density","0.5","1","0","1","10","0"
"270","Density","0.5","1","0","1","10","0"
"271","Density","0.2","1","0","2","10","0"
"272","Density","0.5","1","1","1","10","0"
"273","Exactly","0","0.5","1","1","10","2"
"274","Exactly","0","0.5","1","1","10","2"
"275","Exactly","0","0.5","1","1","10","2"
"276","Exactly","0","0.75","1","1","10","1"
"277","Exactly","0","0.75","1","1","10","1"
"278","Exactly","0","0.75","1","1","10","1"
"279","Exactly","1","0.33","1","1","10","0"
"280","Density","0.4","1","0","1","10","0"
"281","Density","0.3","1","0","1","10","0"
"282","Density","0.2","1","0","2","10","0"
"283","Density","0.05","1","0","1","10","0"
"284","Density","0.3","1","0","1","10","0"
"285","Density","0.3","1","0","1","10","0"
"286","Density","0.03","0.5","0","3","10","0"
"287","Exactly","0","0.5","1","1","10","2"
"288","Exactly","0","0.5","1","1","10","2"
"289","Exactly","0","0.5","1","1","10","2"
"290","Exactly","0","0.5","1","1","10","2"
"291","Exactly","0","0.5","1","1","10","2"
"292","Exactly","0","0.75","1","1","10","1"
"293","Exactly","0","0.75","1","1","10","1"
"294","Exactly","0","0.75","1","1","10","1"
"295","Exactly","0","0.75","1","1","10","1"
"296","Exactly","0","0.75","1","1","10","1"
"297","Exactly","1","0.33","1","1","10","0"
"298","Density","0.5","1","0","1","10","0"
"299","Density","0.5","1","0","1","10","0"
"300","Density","0.2","0.5","0","2","10","0"
"301","Density","0.5","1","0","1","10","0"
"302","Exactly","0","0.5","1","1","10","2"
"303","Exactly","0","0.5","1","1","10","2"
"304","Exactly","0","0.5","1","1","10","2"
"305","Exactly","0","0.75","1","1","10","1"
"306","Exactly","0","0.75","1","1","10","1"
"307","Exactly","0","0.75","1","1","10","1"
"308","Exactly","1","0.33","1","1","10","0"
"309","Density","0.5","1","0","2","10","0"
"310","Density","0.3","1","0","3","10","0"
"311","Density","0.5","1","0","1","10","0"
"312","Exactly","0","1","1","1","10","0"
"313","Exactly","0.3","1","1","1","10","0"
"314","Exactly","0","0.5","1","1","10","2"
"315","Exactly","0","0.5","1","1","10","2"
"316","Density","0.5","1","0","1","10","0"
"317","Density","0.3","1","0","1","10","0"
"318","Density","0.5","1","0","1","10","0"
"319","Exactly","0","1","1","1","10","0"
"320","Exactly","0","1","1","1","10","0"
"321","Exactly","0","1","1","2","10","0"
"322","Exactly","0","1","1","1","10","2"
"323","Density","0.3","1","0","1","10","0"
"324","Exactly","0","0.5","1","1","10","1"
"325","Exactly","0","0.5","1","1","10","1"
"326","Exactly","0","1","1","1","10","2"
"327","Density","1","1","0","1","10","0"
"328","Exactly","0","0.75","1","1","10","1"
"329","Exactly","0","0.75","1","1","10","1"
"330","Exactly","1","0.33","1","1","10","0"
