"SNOConversation","I0","I1","I2","GbidItem","Noname1","Noname2","SNOQuestCurrent","I3","SNOQuestAssigned","SNOQuestActive","SNOQuestComplete","SNOQuestRange","SNOLevelArea","Id","Act"
"153422","1","13","3","-1","","","-1","-1","-1","153424","-1","-1","-1","95","200"
"171337","0","10","3","-1","","","-1","13","-1","112498","-1","-1","-1","96","300"
"72817","1","11","3","-1","","","-1","34","-1","73236","-1","-1","-1","97","0"
"153431","0","13","3","-1","","","-1","-1","-1","153424","-1","-1","-1","98","200"
"153435","1","13","3","-1","","","-1","1","-1","153424","-1","-1","-1","99","200"
"108672","0","11","3","-1","","","-1","46","-1","87700","-1","-1","-1","100","0"
"108687","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","101","0"
"144526","0","10","3","-1","","","-1","2","-1","78266","-1","-1","-1","102","100"
"144541","3","10","3","-1","","","-1","26","-1","78266","-1","-1","-1","103","100"
"198292","1","13","3","-1","","","-1","43","-1","72221","-1","-1","-1","104","0"
"171423","0","10","3","-1","","","-1","13","-1","112498","-1","-1","-1","105","300"
"72897","1","13","3","-1","","","-1","-2","-1","-1","-1","-1","-1","106","0"
"144556","0","10","3","-1","","","-1","26","-1","78266","-1","-1","-1","107","100"
"144560","0","10","3","-1","","","-1","21","-1","78264","-1","-1","-1","108","100"
"198312","1","13","3","-1","","","-1","45","-1","72221","-1","-1","-1","109","0"
"108743","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","110","0"
"144574","0","10","3","-1","","","-1","-1","-1","57337","-1","-1","-1","111","100"
"180403","3","10","3","-1","","","-1","2","-1","78266","-1","-1","-1","112","100"
"144595","0","10","3","-1","","","-1","2","-1","78266","-1","-1","-1","113","100"
"144611","0","10","3","-1","","","-1","33","-1","57337","-1","-1","-1","114","100"
"207331","1","13","3","-1","","","-1","2","-1","207236","-1","-1","-1","115","200"
"144641","3","10","3","-1","","","-1","-1","-1","121792","-1","-1","-1","116","100"
"162560","3","10","3","-1","","","-1","-1","-1","80322","-1","-1","-1","117","100"
"144656","0","10","3","-1","","","-1","3","-1","121792","-1","-1","-1","118","100"
"144670","0","2","3","-1","","","-1","-1","-1","57335","-1","-1","-1","119","100"
"171563","0","10","3","-1","","","-1","33","-1","113910","-1","-1","-1","120","300"
"207404","3","10","3","-1","","","-1","17","-1","114901","-1","-1","-1","121","300"
"171579","0","10","3","-1","","","-1","33","-1","113910","-1","-1","-1","122","300"
"207408","0","10","3","-1","","","-1","17","-1","114901","-1","-1","-1","123","300"
"153679","3","10","3","-1","","","-1","-1","-1","80322","-1","-1","-1","124","100"
"153681","3","10","3","-1","","","-1","-1","-1","93396","-1","-1","-1","125","100"
"153683","3","10","3","-1","","","-1","-1","-1","78266","-1","-1","-1","126","100"
"153685","3","10","3","-1","","","-1","-1","-1","57337","-1","-1","-1","127","100"
"171617","0","10","3","-1","","","-1","33","-1","113910","-1","-1","-1","128","300"
"198503","1","13","3","-1","","","-1","46","-1","87700","-1","-1","-1","129","0"
"171645","3","10","3","-1","","","-1","-1","-1","112498","-1","-1","-1","130","300"
"198521","1","13","3","-1","","","-1","55","-1","87700","-1","-1","-1","131","0"
"82083","0","10","3","-1","","","-1","2","-1","78266","-1","-1","-1","132","100"
"198541","1","13","3","-1","","","-1","26","-1","87700","-1","-1","-1","133","0"
"73171","0","10","3","-1","","","-1","21","-1","72095","-1","-1","-1","134","0"
"207532","0","2","3","-1","","","-1","-1","-1","112498","-1","-1","-1","135","300"
"207536","0","2","3","-1","","","-1","-1","-1","114795","-1","-1","-1","136","300"
"198588","1","13","3","-1","","","-1","45","-1","72095","-1","-1","-1","137","0"
"198617","1","13","3","-1","","","-1","32","-1","72095","-1","-1","-1","138","0"
"198622","0","7","3","-1","","","-1","32","-1","72095","-1","-1","-1","139","0"
"144882","0","10","3","-1","","","-1","1","-1","117779","-1","-1","-1","140","0"
"162816","3","10","3","-1","","","-1","-1","-1","57331","-1","-1","-1","141","100"
"144904","0","10","3","-1","","","-1","8","-1","72738","-1","-1","-1","142","0"
"118037","1","13","3","-1","","","-1","5","-1","117779","-1","-1","-1","143","0"
"91175","0","7","3","-1","","","-1","9","-1","73236","-1","-1","-1","144","0"
"144919","0","10","3","-1","","","-1","34","-1","73236","-1","-1","-1","145","0"
"162836","3","10","3","-1","","","-1","-1","-1","57335","-1","-1","-1","146","100"
"162845","3","10","3","-1","","","-1","-1","-1","57337","-1","-1","-1","147","100"
"162847","3","10","3","-1","","","-1","-1","-1","93595","-1","-1","-1","148","200"
"144935","3","10","3","-1","","","-1","13","-1","72801","-1","-1","-1","149","0"
"198691","1","13","3","-1","","","-1","21","-1","72095","-1","-1","-1","150","0"
"153918","0","10","3","-1","","","-1","-1","-1","114795","-1","-1","-1","151","300"
"198706","1","13","3","-1","","","-1","-1","-1","117779","-1","-1","-1","152","0"
"198713","1","13","3","-1","","","-1","-1","-1","72738","-1","-1","-1","153","0"
"153954","3","10","3","-1","","","-1","-1","-1","93595","-1","-1","-1","154","200"
"91259","0","9","3","-1","","","-1","-1","-1","93396","-1","-1","-1","155","100"
"91262","0","9","3","-1","","","-1","5","-1","74128","-1","-1","-1","156","100"
"198760","0","13","3","-1","","","-1","6","-1","101750","-1","-1","-1","157","200"
"180862","0","9","3","-1","","","-1","0","-1","-1","-1","-1","-1","158","100"
"180867","0","9","3","-1","","","-1","0","-1","-1","-1","-1","-1","159","100"
"180872","0","9","3","-1","","","-1","-1","-1","57331","-1","-1","-1","160","100"
"180879","0","9","3","-1","","","-1","-2","-1","57331","-1","-1","-1","161","100"
"180885","0","9","3","-1","","","-1","0","-1","-1","-1","-1","-1","162","100"
"207775","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","163","300"
"207779","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","164","300"
"207783","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","165","300"
"154080","3","10","3","-1","","","-1","-1","-1","93684","-1","-1","-1","166","200"
"154082","3","10","3","-1","","","-1","-1","-1","101756","-1","-1","-1","167","200"
"207841","5","11","3","-1","","","-1","33","-1","113910","-1","-1","-1","168","300"
"198925","0","13","3","-1","","","-1","71","-1","72738","-1","-1","-1","169","0"
"172069","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","170","100"
"145225","3","10","3","-1","","","-1","6","-1","72061","-1","-1","-1","171","0"
"109471","0","9","3","-1","","","-1","46","-1","87700","-1","-1","-1","172","0"
"154276","3","10","3","-1","","","-1","-1","-1","93691","-1","-1","-1","173","200"
"136385","1","13","3","-1","","","-1","-1","-1","72546","-1","-1","-1","174","0"
"154300","3","10","3","-1","","","-1","-1","-1","114901","-1","-1","-1","175","300"
"145343","1","13","3","-1","","","-1","54","-1","80322","-1","-1","-1","176","100"
"154319","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","177","0"
"190169","0","7","3","-1","","","-1","90","-1","72738","-1","-1","-1","178","0"
"190177","0","7","3","-1","","","-1","0","-1","-1","-1","-1","-1","179","0"
"154353","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","180","0"
"172282","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","181","100"
"190199","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","182","0"
"145415","3","10","3","-1","","","-1","-1","-1","72738","-1","-1","-1","183","0"
"190201","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","184","0"
"145417","3","10","3","-1","","","-1","65","-1","73236","-1","-1","-1","185","0"
"145419","3","10","3","-1","","","-1","-1","-1","72801","-1","-1","-1","186","0"
"82727","1","13","3","-1","","","-1","-2","-1","-1","-1","-1","-1","187","100"
"154387","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","188","0"
"172307","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","189","100"
"172326","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","190","100"
"154420","3","10","3","-1","","","-1","-2","-1","-1","-1","-1","-1","191","0"
"172359","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","192","100"
"181330","0","11","3","-1","","","-1","0","-1","-1","-1","-1","-1","193","0"
"217187","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","194","300"
"217221","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","195","300"
"217223","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","196","300"
"217226","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","197","300"
"217228","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","198","300"
"217230","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","199","300"
"217232","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","200","300"
"217239","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","201","300"
"172464","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","202","100"
"154570","0","10","3","-1","","","-1","41","-1","72221","-1","-1","-1","203","0"
"172517","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","204","200"
"172554","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","205","200"
"172563","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","206","200"
"217364","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","207","300"
"172588","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","208","200"
"172602","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","209","200"
"217405","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","210","300"
"74121","0","11","3","-1","","","-1","-1","-1","105496","-1","-1","-1","211","0"
"217436","0","13","3","-1","","","-1","15","-1","112498","-1","-1","-1","212","300"
"101024","0","9","3","-1","","","-1","1","-1","87700","-1","-1","-1","213","0"
"101026","0","9","3","-1","","","-1","1","-1","87700","-1","-1","-1","214","0"
"101029","0","9","3","-1","","","-1","-1","-1","87700","-1","-1","-1","215","0"
"217505","1","11","3","-1","","","-1","0","-1","-1","-1","-1","-1","216","100"
"217512","0","11","3","-1","","","-1","0","-1","-1","-1","-1","-1","217","100"
"217514","0","11","3","-1","","","-1","0","-1","-1","-1","-1","-1","218","100"
"217516","0","11","3","-1","","","-1","0","-1","-1","-1","-1","-1","219","100"
"118999","3","10","3","-1","","","-1","-2","-1","-1","-1","-1","-1","220","0"
"145891","1","13","3","-1","","","-1","47","-1","57335","-1","-1","-1","221","100"
"163809","0","10","3","-1","","","-1","-1","-1","93684","-1","-1","-1","222","200"
"163811","3","10","3","-1","","","-1","-1","-1","93691","-1","-1","-1","223","200"
"163813","3","10","3","-1","","","-1","-1","-1","101756","-1","-1","-1","224","200"
"163815","3","10","3","-1","","","-1","-1","-1","114901","-1","-1","-1","225","300"
"136945","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","226","0"
"136980","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","227","0"
"199698","1","11","3","-1","","","-1","14","-1","114795","-1","-1","-1","228","300"
"181800","0","7","3","-1","","","-1","2","-1","78266","-1","-1","-1","229","100"
"181807","0","7","3","-1","","","-1","11","-1","78266","-1","-1","-1","230","100"
"137024","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","231","0"
"199726","1","13","3","-1","","","-1","5","-1","114901","-1","-1","-1","232","300"
"181813","0","7","3","-1","","","-1","11","-1","78266","-1","-1","-1","233","100"
"181815","0","7","3","-1","","","-1","11","-1","78266","-1","-1","-1","234","100"
"181829","0","7","3","-1","","","-1","14","-1","57339","-1","-1","-1","235","100"
"181836","0","7","3","-1","","","-1","14","-1","57339","-1","-1","-1","236","100"
"181910","1","13","3","-1","","","-1","50","-1","72061","-1","-1","-1","237","0"
"181912","1","13","3","-1","","","-1","50","-1","72061","-1","-1","-1","238","0"
"137134","0","2","3","-1","","","-1","-1","-1","72221","-1","-1","-1","239","0"
"155050","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","240","0"
"164038","0","10","3","-1","","","-1","85","-1","80322","-1","-1","-1","241","100"
"146164","0","10","3","-1","","","-1","27","-1","57339","-1","-1","-1","242","100"
"146179","0","9","3","-1","","","-1","25","-1","57337","-1","-1","-1","243","100"
"146181","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","244","100"
"182014","0","9","3","-1","","","-1","16","-1","93595","-1","-1","-1","245","200"
"182020","0","9","3","-1","","","-1","16","-1","93595","-1","-1","-1","246","200"
"182025","0","9","3","-1","","","-1","16","-1","93595","-1","-1","-1","247","200"
"182030","0","9","3","-1","","","-1","16","-1","93595","-1","-1","-1","248","200"
"146213","0","11","3","-1","","","-1","27","-1","57339","-1","-1","-1","249","100"
"146227","0","2","3","-1","","","-1","27","-1","57339","-1","-1","-1","250","100"
"137270","0","2","3","-1","","","-1","46","-1","87700","-1","-1","-1","251","0"
"164197","1","13","3","-1","","","-1","54","-1","80322","-1","-1","-1","252","100"
"164215","3","10","3","-1","","","-1","-2","-1","78266","-1","-1","-1","253","100"
"164219","0","10","3","-1","","","-1","-2","-1","78266","-1","-1","-1","254","100"
"164235","3","10","3","-1","","","-1","-2","-1","57337","-1","-1","-1","255","100"
"200078","0","7","3","-1","","","-1","28","-1","72738","-1","-1","-1","256","0"
"146345","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","257","100"
"146349","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","258","100"
"146353","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","259","100"
"146357","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","260","100"
"119497","0","7","3","-1","","","-1","8","-1","72738","-1","-1","-1","261","0"
"200116","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","262","100"
"146374","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","263","100"
"146380","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","264","100"
"119511","0","7","3","-1","","","-1","8","-1","72738","-1","-1","-1","265","0"
"200131","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","266","100"
"146395","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","267","100"
"119525","0","7","3","-1","","","-1","8","-1","72738","-1","-1","-1","268","0"
"200147","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","269","100"
"119539","0","7","3","-1","","","-1","8","-1","72738","-1","-1","-1","270","0"
"209110","0","7","3","-1","","","-1","0","-1","-1","-1","-1","-1","271","200"
"200163","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","272","100"
"200167","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","273","100"
"209125","1","13","3","-1","","","-1","-1","-1","101750","-1","-1","-1","274","200"
"200182","0","7","3","-1","","","-1","23","-1","78264","-1","-1","-1","275","100"
"119574","3","10","3","-1","","","-1","-2","-1","-1","-1","-1","-1","276","0"
"164368","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","277","100"
"146457","0","9","3","-1","","","-1","27","-1","57339","-1","-1","-1","278","100"
"164405","0","7","3","-1","","","-1","-1","-1","93595","-1","-1","-1","279","200"
"200268","3","10","3","-1","","","-1","-1","-1","114901","-1","-1","-1","280","300"
"200270","3","10","3","-1","","","-1","-1","-1","114901","-1","-1","-1","281","300"
"119680","1","13","3","-1","","","-1","11","-1","72801","-1","-1","-1","282","0"
"146576","3","10","3","-1","","","-1","2","-1","78266","-1","-1","-1","283","100"
"191364","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","284","200"
"191392","0","10","3","-1","","","-1","-1","-1","93595","-1","-1","-1","285","200"
"191396","0","10","3","-1","","","-1","-1","-1","93595","-1","-1","-1","286","200"
"146624","0","10","3","-1","","","-1","-1","-1","87700","-1","-1","-1","287","0"
"200416","0","10","3","-1","","","-1","-1","-1","72061","-1","-1","-1","288","0"
"200430","0","10","3","-1","","","-1","-1","-1","72061","-1","-1","-1","289","0"
"191511","1","13","3","-1","","","-1","47","-1","72546","-1","-1","-1","290","0"
"155774","0","9","3","-1","","","-1","54","-1","80322","-1","-1","-1","291","100"
"155783","0","9","3","-1","","","-1","54","-1","80322","-1","-1","-1","292","100"
"191615","0","7","3","-1","","","-1","16","-1","93595","-1","-1","-1","293","200"
"155787","0","9","3","-1","","","-1","54","-1","80322","-1","-1","-1","294","100"
"155791","0","9","3","-1","","","-1","54","-1","80322","-1","-1","-1","295","100"
"155796","0","9","3","-1","","","-1","54","-1","80322","-1","-1","-1","296","100"
"191627","0","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","297","200"
"146889","0","10","3","-1","","","-1","-1","-1","87700","-1","-1","-1","298","0"
"93149","0","10","3","-1","","","-1","20","-1","73236","-1","-1","-1","299","0"
"146903","0","10","3","-1","","","-1","-1","-1","72221","-1","-1","-1","300","0"
"146907","0","10","3","-1","","","-1","-1","-1","72061","-1","-1","-1","301","0"
"146921","0","10","3","-1","","","-1","-1","-1","117779","-1","-1","-1","302","0"
"146926","0","10","3","-1","","","-1","-1","-1","72738","-1","-1","-1","303","0"
"146930","0","10","3","-1","","","-1","-1","-1","73236","-1","-1","-1","304","0"
"155925","1","13","3","-1","","","-1","10","-1","101758","-1","-1","-1","305","200"
"57401","1","13","3","-1","","","-1","-1","-1","80322","-1","-1","-1","306","100"
"93297","0","7","3","-1","","","-1","5","-1","83314","-1","-1","-1","307","0"
"93313","0","7","3","-1","","","-1","5","-1","83314","-1","-1","-1","308","0"
"93337","1","13","3","-1","","","-1","67","-1","73236","-1","-1","-1","309","0"
"120220","1","13","3","-1","","","-1","11","-1","72801","-1","-1","-1","310","0"
"93364","0","9","3","-1","","","-1","41","-1","72221","-1","-1","-1","311","0"
"93366","0","9","3","-1","","","-1","-1","-1","117779","-1","-1","-1","312","0"
"93371","0","9","3","-1","","","-1","41","-1","72221","-1","-1","-1","313","0"
"93377","0","9","3","-1","","","-1","41","-1","72221","-1","-1","-1","314","0"
"93379","0","9","3","-1","","","-1","41","-1","72221","-1","-1","-1","315","0"
"93381","0","9","3","-1","","","-1","-1","-1","117779","-1","-1","-1","316","0"
"120253","1","13","3","-1","","","-1","11","-1","72801","-1","-1","-1","317","0"
"200867","0","2","3","-1","","","-1","-1","-1","93595","-1","-1","-1","318","200"
"93383","0","9","3","-1","","","-1","-1","-1","117779","-1","-1","-1","319","0"
"93385","0","9","3","-1","","","-1","-1","-1","117779","-1","-1","-1","320","0"
"165080","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","321","0"
"57608","0","13","3","-1","","","-1","1","-1","78264","-1","-1","-1","322","100"
"57625","1","11","3","-1","","","-1","40","-1","57331","-1","-1","-1","323","-1"
"165125","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","324","0"
"192009","3","10","3","-1","","","-1","0","-1","-1","-1","-1","-1","325","100"
"120357","1","13","3","-1","","","-1","21","-1","72738","-1","-1","-1","326","0"
"120372","1","13","3","-1","","","-1","9","-1","73236","-1","-1","-1","327","0"
"165161","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","328","0"
"120382","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","329","0"
"165170","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","330","0"
"156243","0","2","3","-1","","","-1","0","-1","-1","-1","-1","-1","331","0"
"93546","0","13","3","-1","","","-1","44","-1","57335","-1","-1","-1","332","100"
"57723","0","13","3","-1","","","-1","2","-1","30857","-1","-1","-1","333","100"
"192113","0","2","3","-1","","","-1","1","-1","101756","-1","-1","-1","334","200"
"192122","0","2","3","-1","","","-1","1","-1","101756","-1","-1","-1","335","200"
"201085","1","13","3","-1","","","-1","0","-1","80322","-1","-1","-1","336","100"
"192130","0","2","3","-1","","","-1","1","-1","101756","-1","-1","-1","337","200"
"129441","0","7","3","-1","","","-1","26","-1","72738","-1","-1","-1","338","0"
"165316","0","7","3","-1","","","-1","44","-1","57335","-1","-1","-1","339","100"
"192189","0","10","3","-1","","","-1","27","-1","57339","-1","-1","-1","340","100"
"165428","0","13","3","-1","","","-1","69","-1","73236","-1","-1","-1","341","0"
"201285","1","13","3","-1","","","-1","13","-1","57331","-1","-1","-1","342","100"
