"I0","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","Id"
"-66","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","35"
"-65","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","36"
"-64","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","37"
"-63","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","38"
"-62","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","39"
"-61","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","40"
"-60","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","41"
"-59","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","42"
"-58","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","43"
"-57","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","44"
"-56","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","45"
"-55","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","46"
"-54","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","47"
"-53","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","48"
"-52","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","49"
"-51","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","50"
"-50","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","51"
"-49","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","52"
"-48","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","53"
"-47","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","54"
"-46","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","55"
"-45","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","56"
"-44","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","57"
"-43","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","58"
"-42","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","59"
"-41","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","60"
"-40","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","61"
"-39","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","62"
"-38","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","63"
"-37","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","64"
"-36","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","65"
"-35","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","66"
"-34","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","67"
"-33","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","68"
"-32","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","69"
"-31","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","70"
"-30","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","71"
"-29","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","72"
"-28","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","73"
"-27","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","74"
"-26","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","75"
"-25","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","76"
"-24","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","77"
"-23","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","78"
"-22","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","79"
"-21","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","80"
"-20","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","81"
"-19","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","82"
"-18","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","83"
"-17","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","84"
"-16","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","85"
"-15","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","86"
"-14","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","87"
"-13","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","88"
"-12","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","89"
"-11","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","90"
"-10","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","91"
"-9","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","92"
"-8","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","93"
"-7","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","94"
"-6","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","95"
"-5","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","96"
"-4","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","97"
"-3","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","98"
"-2","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","99"
"-1","100","1","1","1","1","1","1","1","1","1","1","100","1","1","1","1","1","1","1","1","1","1","100"
"0","100","1","1","1","1","1","1","1","1","1","1","97","2","2","2","1","1","1","1","1","1","1","101"
"1","100","1","1","1","1","1","1","1","1","1","1","94","3","3","3","1","1","1","1","1","1","1","102"
"2","100","1.25","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1","1","91","4","4","4","1","1","1","1","1","1","1","103"
"3","100","1.5","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1","1","88","5","5","5","1","1","1","1","1","1","1","104"
"4","100","1.75","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1","1","84","5","5","5","2","2","2","2","1","1","1","105"
"5","100","2","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1","1","80","5","5","5","3","3","3","3","1","1","1","106"
"6","100","2","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.05","1.05","76","5","5","5","4","4","4","4","1","1","1","107"
"7","100","2","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.1","1.1","72","5","5","5","5","5","5","5","1","1","1","108"
"8","100","2","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.15","1.15","69","5","5","5","5","5","5","5","2","2","2","109"
"9","100","2","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.2","1.2","66","5","5","5","5","5","5","5","3","3","3","110"
"10","100","2","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.25","1.25","63","5","5","5","5","5","5","5","4","4","4","111"
"11","100","2","2","2","2","2","2","2","2","1.3","1.3","60","5","5","5","5","5","5","5","5","5","5","112"
"12","100","2","2.1","2.1","2.1","2.1","2.1","2.1","2.1","1.35","1.35","60","5","5","5","5","5","5","5","5","5","5","113"
"13","100","2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","1.4","1.4","60","5","5","5","5","5","5","5","5","5","5","114"
"14","100","2","2.3","2.3","2.3","2.3","2.3","2.3","2.3","1.45","1.45","60","5","5","5","5","5","5","5","5","5","5","115"
"15","100","2","2.4","2.4","2.4","2.4","2.4","2.4","2.4","1.5","1.5","60","5","5","5","5","5","5","5","5","5","5","116"
"16","100","2","2.5","2.5","2.5","2.5","2.5","2.5","2.5","1.55","1.55","60","5","5","5","5","5","5","5","5","5","5","117"
"17","100","2","2.6","2.6","2.6","2.6","2.6","2.6","2.6","1.6","1.6","60","5","5","5","5","5","5","5","5","5","5","118"
"18","100","2","2.7","2.7","2.7","2.7","2.7","2.7","2.7","1.65","1.65","60","5","5","5","5","5","5","5","5","5","5","119"
"19","100","2","2.8","2.8","2.8","2.8","2.8","2.8","2.8","1.7","1.7","60","5","5","5","5","5","5","5","5","5","5","120"
"20","100","2","2.9","2.9","2.9","2.9","2.9","2.9","2.9","1.75","1.75","60","5","5","5","5","5","5","5","5","5","5","121"
"21","100","2","3","3","3","3","3","3","3","1.8","1.8","60","5","5","5","5","5","5","5","5","5","5","122"
"22","100","2","3.1","3.1","3.1","3.1","3.1","3.1","3.1","1.85","1.85","60","5","5","5","5","5","5","5","5","5","5","123"
"23","100","2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","1.9","1.9","60","5","5","5","5","5","5","5","5","5","5","124"
"24","100","2","3.3","3.3","3.3","3.3","3.3","3.3","3.3","1.95","1.95","60","5","5","5","5","5","5","5","5","5","5","125"
"25","100","2","3.4","3.4","3.4","3.4","3.4","3.4","3.4","2","2","60","5","5","5","5","5","5","5","5","5","5","126"
"26","100","2","3.5","3.5","3.5","3.5","3.5","3.5","3.5","2.05","2.05","60","5","5","5","5","5","5","5","5","5","5","127"
"27","100","2","3.6","3.6","3.6","3.6","3.6","3.6","3.6","2.1","2.1","60","5","5","5","5","5","5","5","5","5","5","128"
"28","100","2","3.7","3.7","3.7","3.7","3.7","3.7","3.7","2.15","2.15","60","5","5","5","5","5","5","5","5","5","5","129"
"29","100","2","3.8","3.8","3.8","3.8","3.8","3.8","3.8","2.2","2.2","60","5","5","5","5","5","5","5","5","5","5","130"
"30","100","2","3.9","3.9","3.9","3.9","3.9","3.9","3.9","2.25","2.25","60","5","5","5","5","5","5","5","5","5","5","131"
"31","100","2","4","4","4","4","4","4","4","2.3","2.3","60","5","5","5","5","5","5","5","5","5","5","132"
"32","100","2","4.1","4.1","4.1","4.1","4.1","4.1","4.1","2.35","2.35","60","5","5","5","5","5","5","5","5","5","5","133"
"33","100","2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","2.4","2.4","60","5","5","5","5","5","5","5","5","5","5","134"
"34","100","2","4.3","4.3","4.3","4.3","4.3","4.3","4.3","2.45","2.45","60","5","5","5","5","5","5","5","5","5","5","135"
"35","100","2","4.4","4.4","4.4","4.4","4.4","4.4","4.4","2.5","2.5","60","5","5","5","5","5","5","5","5","5","5","136"
"36","100","2","4.5","4.5","4.5","4.5","4.5","4.5","4.5","2.55","2.55","60","5","5","5","5","5","5","5","5","5","5","137"
"37","100","2","4.6","4.6","4.6","4.6","4.6","4.6","4.6","2.6","2.6","60","5","5","5","5","5","5","5","5","5","5","138"
"38","100","2","4.7","4.7","4.7","4.7","4.7","4.7","4.7","2.65","2.65","60","5","5","5","5","5","5","5","5","5","5","139"
"39","100","2","4.8","4.8","4.8","4.8","4.8","4.8","4.8","2.7","2.7","60","5","5","5","5","5","5","5","5","5","5","140"
"40","100","2","4.9","4.9","4.9","4.9","4.9","4.9","4.9","2.75","2.75","60","5","5","5","5","5","5","5","5","5","5","141"
"41","100","2","5","5","5","5","5","5","5","2.8","2.8","60","5","5","5","5","5","5","5","5","5","5","142"
"42","100","2","5.1","5.1","5.1","5.1","5.1","5.1","5.1","2.85","2.85","60","5","5","5","5","5","5","5","5","5","5","143"
"43","100","2","5.2","5.2","5.2","5.2","5.2","5.2","5.2","2.9","2.9","60","5","5","5","5","5","5","5","5","5","5","144"
"44","100","2","5.3","5.3","5.3","5.3","5.3","5.3","5.3","2.95","2.95","60","5","5","5","5","5","5","5","5","5","5","145"
"45","100","2","5.4","5.4","5.4","5.4","5.4","5.4","5.4","3","3","60","5","5","5","5","5","5","5","5","5","5","146"
"46","100","2","5.5","5.5","5.5","5.5","5.5","5.5","5.5","3.05","3.05","60","5","5","5","5","5","5","5","5","5","5","147"
"47","100","2","5.6","5.6","5.6","5.6","5.6","5.6","5.6","3.1","3.1","60","5","5","5","5","5","5","5","5","5","5","148"
"48","100","2","5.7","5.7","5.7","5.7","5.7","5.7","5.7","3.15","3.15","60","5","5","5","5","5","5","5","5","5","5","149"
"49","100","2","5.8","5.8","5.8","5.8","5.8","5.8","5.8","3.2","3.2","60","5","5","5","5","5","5","5","5","5","5","150"
"50","100","2","5.9","5.9","5.9","5.9","5.9","5.9","5.9","3.25","3.25","60","5","5","5","5","5","5","5","5","5","5","151"
"51","100","2","6","6","6","6","6","6","6","3.3","3.3","60","5","5","5","5","5","5","5","5","5","5","152"
"52","100","2","6.1","6.1","6.1","6.1","6.1","6.1","6.1","3.35","3.35","60","5","5","5","5","5","5","5","5","5","5","153"
"53","100","2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","3.4","3.4","60","5","5","5","5","5","5","5","5","5","5","154"
"54","100","2","6.3","6.3","6.3","6.3","6.3","6.3","6.3","3.45","3.45","60","5","5","5","5","5","5","5","5","5","5","155"
"55","100","2","6.4","6.4","6.4","6.4","6.4","6.4","6.4","3.5","3.5","60","5","5","5","5","5","5","5","5","5","5","156"
"56","100","2","6.5","6.5","6.5","6.5","6.5","6.5","6.5","3.55","3.55","60","5","5","5","5","5","5","5","5","5","5","157"
"57","100","2","6.6","6.6","6.6","6.6","6.6","6.6","6.6","3.6","3.6","60","5","5","5","5","5","5","5","5","5","5","158"
"58","100","2","6.7","6.7","6.7","6.7","6.7","6.7","6.7","3.65","3.65","60","5","5","5","5","5","5","5","5","5","5","159"
"59","100","2","6.8","6.8","6.8","6.8","6.8","6.8","6.8","3.7","3.7","60","5","5","5","5","5","5","5","5","5","5","160"
"60","100","2","6.9","6.9","6.9","6.9","6.9","6.9","6.9","3.75","3.75","60","5","5","5","5","5","5","5","5","5","5","161"
"61","100","2","7","7","7","7","7","7","7","3.8","3.8","60","5","5","5","5","5","5","5","5","5","5","162"
"62","100","2","7.1","7.1","7.1","7.1","7.1","7.1","7.1","3.85","3.85","60","5","5","5","5","5","5","5","5","5","5","163"
"63","100","2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","3.9","3.9","60","5","5","5","5","5","5","5","5","5","5","164"
"64","100","2","7.3","7.3","7.3","7.3","7.3","7.3","7.3","3.95","3.95","60","5","5","5","5","5","5","5","5","5","5","165"
"65","100","2","7.4","7.4","7.4","7.4","7.4","7.4","7.4","4","4","60","5","5","5","5","5","5","5","5","5","5","166"
"66","100","2","7.5","7.5","7.5","7.5","7.5","7.5","7.5","4.05","4.05","60","5","5","5","5","5","5","5","5","5","5","167"
"67","100","2","7.6","7.6","7.6","7.6","7.6","7.6","7.6","4.1","4.1","60","5","5","5","5","5","5","5","5","5","5","168"
"68","100","2","7.7","7.7","7.7","7.7","7.7","7.7","7.7","4.15","4.15","60","5","5","5","5","5","5","5","5","5","5","169"
"69","100","2","7.8","7.8","7.8","7.8","7.8","7.8","7.8","4.2","4.2","60","5","5","5","5","5","5","5","5","5","5","170"
"70","100","2","7.9","7.9","7.9","7.9","7.9","7.9","7.9","4.25","4.25","60","5","5","5","5","5","5","5","5","5","5","171"
"71","100","2","8","8","8","8","8","8","8","4.3","4.3","60","5","5","5","5","5","5","5","5","5","5","172"
"72","100","2","8.1","8.1","8.1","8.1","8.1","8.1","8.1","4.35","4.35","60","5","5","5","5","5","5","5","5","5","5","173"
"73","100","2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","4.4","4.4","60","5","5","5","5","5","5","5","5","5","5","174"
"74","100","2","8.3","8.3","8.3","8.3","8.3","8.3","8.3","4.45","4.45","60","5","5","5","5","5","5","5","5","5","5","175"
"75","100","2","8.4","8.4","8.4","8.4","8.4","8.4","8.4","4.5","4.5","60","5","5","5","5","5","5","5","5","5","5","176"
"76","100","2","8.5","8.5","8.5","8.5","8.5","8.5","8.5","4.55","4.55","60","5","5","5","5","5","5","5","5","5","5","177"
"77","100","2","8.6","8.6","8.6","8.6","8.6","8.6","8.6","4.6","4.6","60","5","5","5","5","5","5","5","5","5","5","178"
"78","100","2","8.7","8.7","8.7","8.7","8.7","8.7","8.7","4.65","4.65","60","5","5","5","5","5","5","5","5","5","5","179"
"79","100","2","8.8","8.8","8.8","8.8","8.8","8.8","8.8","4.7","4.7","60","5","5","5","5","5","5","5","5","5","5","180"
"80","100","2","8.9","8.9","8.9","8.9","8.9","8.9","8.9","4.75","4.75","60","5","5","5","5","5","5","5","5","5","5","181"
"81","100","2","9","9","9","9","9","9","9","4.8","4.8","60","5","5","5","5","5","5","5","5","5","5","182"
"82","100","2","9.1","9.1","9.1","9.1","9.1","9.1","9.1","4.85","4.85","60","5","5","5","5","5","5","5","5","5","5","183"
"83","100","2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","4.9","4.9","60","5","5","5","5","5","5","5","5","5","5","184"
"84","100","2","9.3","9.3","9.3","9.3","9.3","9.3","9.3","4.95","4.95","60","5","5","5","5","5","5","5","5","5","5","185"
"85","100","2","9.4","9.4","9.4","9.4","9.4","9.4","9.4","5","5","60","5","5","5","5","5","5","5","5","5","5","186"
"86","100","2","9.5","9.5","9.5","9.5","9.5","9.5","9.5","5.05","5.05","60","5","5","5","5","5","5","5","5","5","5","187"
"87","100","2","9.6","9.6","9.6","9.6","9.6","9.6","9.6","5.1","5.1","60","5","5","5","5","5","5","5","5","5","5","188"
"88","100","2","9.7","9.7","9.7","9.7","9.7","9.7","9.7","5.15","5.15","60","5","5","5","5","5","5","5","5","5","5","189"
"89","100","2","9.8","9.8","9.8","9.8","9.8","9.8","9.8","5.2","5.2","60","5","5","5","5","5","5","5","5","5","5","190"
"90","100","2","9.9","9.9","9.9","9.9","9.9","9.9","9.9","5.25","5.25","60","5","5","5","5","5","5","5","5","5","5","191"
"91","100","2","10","10","10","10","10","10","10","5.3","5.3","60","5","5","5","5","5","5","5","5","5","5","192"
"92","100","2","10","10.1","10.1","10.1","10.1","10.1","10.1","5.35","5.35","60","5","5","5","5","5","5","5","5","5","5","193"
"93","100","2","10","10.2","10.2","10.2","10.2","10.2","10.2","5.4","5.4","60","5","5","5","5","5","5","5","5","5","5","194"
"94","100","2","10","10.3","10.3","10.3","10.3","10.3","10.3","5.45","5.45","60","5","5","5","5","5","5","5","5","5","5","195"
"95","100","2","10","10.4","10.4","10.4","10.4","10.4","10.4","5.5","5.5","60","5","5","5","5","5","5","5","5","5","5","196"
"96","100","2","10","10.5","10.5","10.5","10.5","10.5","10.5","5.55","5.55","60","5","5","5","5","5","5","5","5","5","5","197"
"97","100","2","10","10.6","10.6","10.6","10.6","10.6","10.6","5.6","5.6","60","5","5","5","5","5","5","5","5","5","5","198"
"98","100","2","10","10.7","10.7","10.7","10.7","10.7","10.7","5.65","5.65","60","5","5","5","5","5","5","5","5","5","5","199"
"99","100","2","10","10.8","10.8","10.8","10.8","10.8","10.8","5.7","5.7","60","5","5","5","5","5","5","5","5","5","5","200"
"100","100","2","10","10.9","10.9","10.9","10.9","10.9","10.9","5.75","5.75","60","5","5","5","5","5","5","5","5","5","5","201"
"101","100","2","10","11","11","11","11","11","11","5.8","5.8","60","5","5","5","5","5","5","5","5","5","5","202"
"102","100","2","10","11.1","11.1","11.1","11.1","11.1","11.1","5.85","5.85","60","5","5","5","5","5","5","5","5","5","5","203"
"103","100","2","10","11.2","11.2","11.2","11.2","11.2","11.2","5.9","5.9","60","5","5","5","5","5","5","5","5","5","5","204"
"104","100","2","10","11.3","11.3","11.3","11.3","11.3","11.3","5.95","5.95","60","5","5","5","5","5","5","5","5","5","5","205"
"105","100","2","10","11.4","11.4","11.4","11.4","11.4","11.4","6","6","60","5","5","5","5","5","5","5","5","5","5","206"
"106","100","2","10","11.5","11.5","11.5","11.5","11.5","11.5","6.05","6.05","60","5","5","5","5","5","5","5","5","5","5","207"
"107","100","2","10","11.6","11.6","11.6","11.6","11.6","11.6","6.1","6.1","60","5","5","5","5","5","5","5","5","5","5","208"
"108","100","2","10","11.7","11.7","11.7","11.7","11.7","11.7","6.15","6.15","60","5","5","5","5","5","5","5","5","5","5","209"
"109","100","2","10","11.8","11.8","11.8","11.8","11.8","11.8","6.2","6.2","60","5","5","5","5","5","5","5","5","5","5","210"
"110","100","2","10","11.9","11.9","11.9","11.9","11.9","11.9","6.25","6.25","60","5","5","5","5","5","5","5","5","5","5","211"
