"SNOGroup","SNOId","Name"
"TreasureClass","171591","Salvage_Rune_Golden_T1"
"TreasureClass","171592","Salvage_Rune_Golden_T2"
"TreasureClass","171593","Salvage_Rune_Golden_T3"
"TreasureClass","171594","Salvage_Rune_Indigo_T1"
"TreasureClass","171595","Salvage_Rune_Indigo_T2"
"TreasureClass","106059","LeoricManorLore"
"TreasureClass","171596","Salvage_Rune_Indigo_T3"
"TreasureClass","171597","Salvage_Rune_Obsidian_T1"
"TreasureClass","171598","Salvage_Rune_Obsidian_T2"
"TreasureClass","171599","Salvage_Rune_Obsidian_T3"
"TreasureClass","110942","QuestMobTreasure"
"TreasureClass","91541","OldTristramLore"
"TreasureClass","158292","Lore_LastStand"
"TreasureClass","81848","A1_GenericVendor_Tinker"
"TreasureClass","81869","A1_UniqueVendor_Armorer"
"TreasureClass","189883","Salvage_Tier1_Common"
"TreasureClass","189889","Salvage_Tier4_Common"
"TreasureClass","114647","Barbarian_ThreateningShout"
"TreasureClass","199604","A1_Quest_DrownedTemple_NephalemCube"
"TreasureClass","170480","StoneofWealth_Reward"
"TreasureClass","171708","Salvage_Trinket_Tier01"
"TreasureClass","98898","BlacksmithWife"
"TreasureClass","129246","TreasureGoblin_B"
"TreasureClass","171724","Salvage_Gem_T01"
"TreasureClass","171725","Salvage_Gem_Amethyst_T01"
"TreasureClass","171726","Salvage_Gem_Amethyst_T02"
"TreasureClass","171727","Salvage_Gem_Amethyst_T03"
"TreasureClass","171728","Salvage_Gem_Amethyst_T04"
"TreasureClass","171735","Salvage_Gem_Emerald_T01"
"TreasureClass","171736","Salvage_Gem_Emerald_T02"
"TreasureClass","171737","Salvage_Gem_Emerald_T03"
"TreasureClass","171738","Salvage_Gem_Emerald_T04"
"TreasureClass","129262","TreasureGoblin_C"
"TreasureClass","171745","Salvage_Gem_Ruby_T01"
"TreasureClass","171746","Salvage_Gem_Ruby_T02"
"TreasureClass","171747","Salvage_Gem_Ruby_T03"
"TreasureClass","171748","Salvage_Gem_Ruby_T04"
"TreasureClass","168110","Salvage_Tier2_Common"
"TreasureClass","168114","Salvage_Tier2_Magic"
"TreasureClass","180255","A1_GenericVendor_Fence_InTown_Armor"
"TreasureClass","168119","Salvage_Tier2_Rare"
"TreasureClass","151131","Lore_SpiritJourney"
"TreasureClass","171766","Salvage_Gem_Topaz_T01"
"TreasureClass","79531","Hireling_Leah"
"TreasureClass","168126","Salvage_Tier3_Common"
"TreasureClass","171767","Salvage_Gem_Topaz_T02"
"TreasureClass","79532","Hireling_Enchantress"
"TreasureClass","168127","Salvage_Tier3_Magic"
"TreasureClass","171768","Salvage_Gem_Topaz_T03"
"TreasureClass","171769","Salvage_Gem_Topaz_T04"
"TreasureClass","168129","Salvage_Tier3_Rare"
"TreasureClass","189976","LootClicky_Type3_BasicWeapon"
"TreasureClass","86819","LeahJournal_ActOne"
"TreasureClass","168133","Salvage_Tier4_Magic"
"TreasureClass","168135","Salvage_Tier4_Rare"
"TreasureClass","171776","Salvage_Gem_T02"
"TreasureClass","171777","Salvage_Gem_T03"
"TreasureClass","171778","Salvage_Gem_T04"
"TreasureClass","171785","Salvage_Trinket_Tier02"
"TreasureClass","171786","Salvage_Trinket_Tier03"
"TreasureClass","171787","Salvage_Trinket_Tier04"
"TreasureClass","177864","A1_GenericVendor_Fence_InTown_Weapon"
"TreasureClass","177865","A1_GenericVendor_Fence_InTown_Trinket"
"TreasureClass","177866","A1_GenericVendor_Fence_InTown_Misc"
"TreasureClass","177867","A1_GenericVendor_Miner_InTown_Weapon"
"TreasureClass","177868","A1_GenericVendor_Miner_InTown_Armor"
"TreasureClass","174240","QuestRewardTreasure"
"TreasureClass","71092","Wizard_Inventory"
"TreasureClass","71093","Witchdoctor_Inventory"
"TreasureClass","71094","Monk_Inventory"
"TreasureClass","71095","Barbarian_Inventory"
"TreasureClass","190036","Salvage_Tier1_Legendary"
"TreasureClass","190037","Salvage_Tier2_Legendary"
"TreasureClass","190038","Salvage_Tier3_Legendary"
"TreasureClass","190039","Salvage_Tier4_Legendary"
"TreasureClass","183978","A1_GenericVendor_Collector_Armor"
"TreasureClass","183979","A1_GenericVendor_Collector_Misc"
"TreasureClass","183980","A1_GenericVendor_Collector_Trinkets"
"TreasureClass","183981","A1_GenericVendor_Collector_Weapon"
"TreasureClass","183984","A1_UniqueVendor_Armorer_Armor"
"TreasureClass","183993","A1_GenericVendor_Miner_Armor"
"TreasureClass","183995","A1_GenericVendor_Miner_Weapon"
"TreasureClass","184010","A1_GenericVendor_Fence_Armor"
"TreasureClass","184013","A1_GenericVendor_Fence_Trinket"
"TreasureClass","184014","A1_GenericVendor_Fence_Weapon"
"TreasureClass","187674","QuillDemonChase_LootHoarder"
"TreasureClass","61483","Rare_SpiderQueen"
"TreasureClass","95473","LootClicky_Type4_5_minute"
"TreasureClass","181655","Vendor_InTown_Weapon_Axe1H"
"TreasureClass","205928","UsableGear"
"TreasureClass","181656","Vendor_InTown_Weapon_Axe2H"
"TreasureClass","205929","UsableBasicWeapon"
"TreasureClass","181657","Vendor_InTown_Weapon_Mace1H"
"TreasureClass","205930","UsableBasicArmor"
"TreasureClass","181658","Vendor_InTown_Weapon_Mace2H"
"TreasureClass","181659","Vendor_InTown_Weapon_Sword1H"
"TreasureClass","181662","Vendor_InTown_Weapon_Sword2H"
"TreasureClass","181664","Vendor_InTown_Weapon_Dagger"
"TreasureClass","181665","Vendor_InTown_Weapon_Spear"
"TreasureClass","181666","Vendor_InTown_Weapon_Staff"
"TreasureClass","181667","Vendor_InTown_Weapon_Wand"
"TreasureClass","181668","Vendor_InTown_Weapon_CeremonialDagger"
"TreasureClass","181669","Vendor_InTown_Weapon_Bow"
"TreasureClass","181670","Vendor_InTown_Weapon_Crossbow"
"TreasureClass","181672","Vendor_InTown_Weapon_FistWeapon"
"TreasureClass","181675","Vendor_InTown_Armor_Helm"
"TreasureClass","181676","Vendor_InTown_Armor_ChestArmor"
"TreasureClass","181677","Vendor_InTown_Armor_Gloves"
"TreasureClass","181678","Vendor_InTown_Armor_Boots"
"TreasureClass","181679","Vendor_InTown_Armor_Shoulders"
"TreasureClass","71244","Salvage_Tier1_Magic"
"TreasureClass","181685","Vendor_InTown_Armor_Belt"
"TreasureClass","71245","Salvage_Tier1_Rare"
"TreasureClass","181686","Vendor_InTown_Armor_Pants"
"TreasureClass","181687","Vendor_InTown_Armor_Bracers"
"TreasureClass","181688","Vendor_InTown_Armor_Shield"
"TreasureClass","181689","Vendor_InTown_Armor_Orb"
"TreasureClass","181690","Vendor_InTown_Armor_Mojo"
"TreasureClass","181691","Vendor_InTown_Armor_Quiver"
"TreasureClass","157453","GriswoldsDulledEdge"
"TreasureClass","178086","PotionNormal"
"TreasureClass","104057","CultCrown_Lore"
"TreasureClass","158674","Scoundrel_Journal_New"
"TreasureClass","162319","BlackMushroom"
"TreasureClass","181740","Vendor_InTown_Trinket_Ring"
"TreasureClass","181741","Vendor_InTown_Trinket_Amulet"
"TreasureClass","162325","Barbarian_HammerOfTheAncients"
"TreasureClass","181758","A1_GenericVendor_Collector_InTown_Trinkets"
"TreasureClass","170874","Bookcase_LliogorTheCrazed"
"TreasureClass","184225","Vendor_Random_Armor_ClassBelt"
"TreasureClass","184226","Vendor_Random_Armor_ClassHelm_WizardHat"
"TreasureClass","184227","Vendor_Random_Armor_ClassChestArmor"
"TreasureClass","184229","Vendor_Random_Armor_ClassHelm_VoodooMask"
"TreasureClass","184230","Vendor_Random_Armor_ClassHelm_SpiritStone"
"TreasureClass","184231","Vendor_Random_Armor_ClassHelm"
"TreasureClass","145440","MultiSkeletonLoreDrop"
"TreasureClass","115125","CainsJournal"
"TreasureClass","196447","QuestReward_Act1_ChancellorsDeath"
"TreasureClass","77529","Demonhunter_Inventory"
"TreasureClass","152793","Unique_Miniboss"
"TreasureClass","104249","Event_Vendor_Armorer"
"TreasureClass","156439","Lore_Dark_Zealot"
"TreasureClass","62990","Quest_Nephalem_Key_02"
"TreasureClass","82409","A1_UniqueVendor_Curios"
"TreasureClass","82411","A1_GenericVendor_Collector"
"TreasureClass","82414","A1_GenericVendor_Fence"
"TreasureClass","184361","A1_GenericVendor_Innkeeper"
"TreasureClass","82417","A1_GenericVendor_Miner"
"TreasureClass","184362","A1_GenericVendor_Innkeeper_Misc"
"TreasureClass","154024","trOut_OldTristram_AdriaCellar_Cauldron"
"TreasureClass","183158","Vendor_Random_Armor_Belt"
"TreasureClass","183159","Vendor_Random_Armor_Boots"
"TreasureClass","183160","Vendor_Random_Armor_Bracers"
"TreasureClass","183161","Vendor_Random_Armor_ChestArmor"
"TreasureClass","183162","Vendor_Random_Armor_Gloves"
"TreasureClass","183163","Vendor_Random_Armor_Helm"
"TreasureClass","183164","Vendor_Random_Armor_Mojo"
"TreasureClass","183165","Vendor_Random_Armor_Orb"
"TreasureClass","183166","Vendor_Random_Armor_Pants"
"TreasureClass","183167","Vendor_Random_Armor_Quiver"
"TreasureClass","183168","Vendor_Random_Armor_Shield"
"TreasureClass","183169","Vendor_Random_Armor_Shoulders"
"TreasureClass","183170","Vendor_Random_Trinket_Amulet"
"TreasureClass","183171","Vendor_Random_Trinket_Ring"
"TreasureClass","105500","TreasureGoblin_StunDrop"
"TreasureClass","183174","Vendor_Random_Weapon_Bow"
"TreasureClass","183175","Vendor_Random_Weapon_CeremonialDagger"
"TreasureClass","183177","Vendor_Random_Weapon_Crossbow"
"TreasureClass","183179","Vendor_Random_Weapon_FistWeapon"
"TreasureClass","183180","Vendor_Random_Weapon_HandXbow"
"TreasureClass","195319","QuestRewardPotion"
"TreasureClass","183185","Vendor_Random_Weapon_Staff"
"TreasureClass","183188","Vendor_Random_Weapon_Wand"
"TreasureClass","181977","Breakable_Treasure"
"TreasureClass","92169","SkeletonKing_BrokenCrown"
"TreasureClass","50945","BarbarianWeapon"
"TreasureClass","50946","LootClicky_Type1_Common"
"TreasureClass","50948","BasicArmor"
"TreasureClass","50949","BasicJewelry"
"TreasureClass","50950","BasicWeapon"
"TreasureClass","50951","Bookcase"
"TreasureClass","50952","BookcaseNormal"
"TreasureClass","120129","NormalAlways"
"GameBalance","130189","EliteModifiers"
"GameBalance","145205","ItemTiers"
"GameBalance","214222","ScriptedAchievementEvents"
"GameBalance","19747","ItemDropTable"
"GameBalance","19749","ItemLevelModifiers"
"GameBalance","19758","LootDistribution"
"GameBalance","19763","MovementStyles"
"GameBalance","19764","QualityClasses"
"ConversationList","135443","Jeweler_BackstoryAndBanterAct1and2"
"ConversationList","113677","Barkeep"
"ConversationList","118271","Stranger_NewTristram"
"ConversationList","131694","Tristram_Intro_Flavor_5"
"ConversationList","166675","Leah_AdriaHutFollower"
"ConversationList","18140","A1C1DeckardCain"
"ConversationList","18151","TristramBodiesGuard"
"ConversationList","18260","Axe Bad Data"
"ConversationList","140617","Fol_Hero_Camp_Act1"
"ConversationList","79540","Tristram_Intro_Flavor_1"
"ConversationList","79546","Tristram_Intro_Flavor_2"
"ConversationList","79549","Tristram_Intro_Flavor_3"
"ConversationList","145224","Templar_Backstory"
"ConversationList","123450","Rumford_InTown"
"ConversationList","175954","JewelerApprentice"
"ConversationList","158513","A1_Cath04_Vengeance_E_Traveller"
"ConversationList","171688","Event_Highlands_VendorRescue_Vendor_Fail"
"ConversationList","132377","Leah_Backstory"
"ConversationList","79980","TristramWestGateGuard"
"ConversationList","202325","RumfordLyingDown"
"ConversationList","80640","trOut_Wilderness_Event_PuppyLove_Success"
"ConversationList","141847","Tristram_Intro_Flavor_6"
"ConversationList","120124","TristramCart_NPC_AfterBlock"
"ConversationList","181329","Priest_Heal"
"ConversationList","72208","Leah_CainReturnToNephalemDungeons"
"ConversationList","72227","Cain_BackInTownToNephalemDungeons"
"ConversationList","72334","Blacksmith"
"ConversationList","72404","BlacksmithTristram"
"ConversationList","107479","Event_Vendor_Curios"
"ConversationList","81297","TemplarHire"
"ConversationList","107537","Event_Vendor_Collector"
"ConversationList","76998","FamilyTree_Daughter"
"ConversationList","177531","ScoundrelMercs"
"ConversationList","142628","BatesFarmEpilogue"
"ConversationList","177651","A1_CaravanLeader_ActChange"
"ConversationList","81578","ScoundrelIntro_Greet"
"ConversationList","81582","ScoundrelIntro_InTown_Greet"
"ConversationList","112194","Scoundrel_Intro_Convs"
"ConversationList","177839","Tristram_Collector_InTown"
"ConversationList","129790","Event_Highlands_VendorRescue_Vendor"
"ConversationList","177853","Tristram_Fence_InTown"
"ConversationList","177862","Tristram_Miner_InTown"
"ConversationList","73019","Ferryman2Wertham"
"ConversationList","151709","Leah_Inn"
"ConversationList","134234","Tristram_Drunk"
"ConversationList","134324","Hero_Leah"
"ConversationList","60201","FarmAmbushFlyerFarmer_Greet"
"ConversationList","169458","Event_House1000Undead_Intro"
"ConversationList","104074","Event_Vendor_Armorer"
"ConversationList","152164","Scoundrel_Backstory"
"ConversationList","191534","WebGuy_InHighlands"
"ConversationList","86756","Tristram_Intro_Flavor_4"
"ConversationList","134846","Fol_Hero_Templar_Wrld"
"ConversationList","134847","Fol_Hero_Scoundrel_Wrld"
"ConversationList","134848","Fol_Hero_Enchantress_Wrld"
"ConversationList","174195","Event_SpiritJourney_Cultist"
"ConversationList","108677","TristramCart_NPC"
"ConversationList","86885","Event_Roadside_Assistance"
"ConversationList","104412","TemplarIntro_Exposition"
"ConversationList","135018","FarmAmbushFlyerFarmer_Mid"
"ConversationList","108832","TristramGuardCaptainGate"
"ConversationList","104574","Event_Vendor_Tinker"
"ConversationList","135381","Mystic_InTristram"
"Worlds","50579","a1trDun_Level01"
"Worlds","50582","a1trDun_Level04"
"Worlds","50584","a1trDun_Level06"
"Worlds","50585","a1trDun_Level07"
"Worlds","50634","Axe StartWorld"
"Worlds","60600","trdun_Crypt_SkeletonKingCrown_01"
"Worlds","60713","trDun_Cain_Intro"
"Worlds","62706","trOut_Sub240_Fields_CellarA"
"Worlds","62751","trOut_AdriasCellar"
"Worlds","71150","trOUT_Town"
"Worlds","72636","trDun_Crypt_FalsePassage_01"
"Worlds","72637","trDun_Crypt_FalsePassage_02"
"Worlds","73261","a1trDun_King_Level08"
"Worlds","80057","a1trDun_Cath_Tower_Of_Power"
"Worlds","80730","trOut_Oldtistram_Cellar"
"Worlds","84518","trOut_oldTristram_TreeCave"
"Worlds","86856","trOut_Tristram_LeahsRoom"
"Worlds","92126","trDun_Crypt_SkeletonKingCrown_02"
"Worlds","102299","trDun_Crypt_Fields_Flooded_Memories_Level01"
"Worlds","104446","trOut_Vendor_Tinker"
"Worlds","105406","a1trDun_Level05_Templar"
"Worlds","106746","trOut_Oldtistram_Cellar_1"
"Worlds","106752","trOut_Oldtistram_Cellar_2"
"Worlds","107050","trOut_Oldtistram_Cellar_3"
"Worlds","107445","trOut_Fields_Vendor_Curios"
"Worlds","109362","trOut_Tristram_Inn"
"Worlds","130161","trOut_Tristram_CainsHouse"
"Worlds","135193","A1_Cave_Wilderness_Den_Level01"
"Worlds","136441","trOut_OldTristram_Cellar_F"
"Worlds","148534","BattleNet_MainScreen"
"Worlds","149898","Limbo"
"Worlds","154587","trdun_Crypt_SkeletonKingCrown_00"
"Worlds","161961","a1trDun_Cave_Old_Ruins_Random01"
"Worlds","165797","trDun_Crypt_Fields_Flooded_Memories_Level02"
"Worlds","171189","trOut_Highlands_ServantHouse_Cellar_Vendor"
"Worlds","194231","A1_Cave_Wilderness_Den_Level02"
"Worlds","199388","trOut_Wilderness_CorpseHouse"
"Worlds","117405","a1trDun_Tyrael_Level09"
"Worlds","182875","a3Dun_Keep_Hub_Inn"
"Worlds","172909","a3dun_hub_keep"
"Worlds","204707","a3dun_Hub_Adria_Tower_Intro"
"Worlds","174530","caOut_Hub_Inn"
"Worlds","161472","caOUT_RefugeeCamp"
"Worlds","109894","a2dun_Cald_Uprising"
"Worlds","178152","a4dun_heaven_hub_keep"
"Worlds","183800","a4Dun_Heaven_Keep_Hub_Inn"
"Worlds","186552","a3dun_Hub_Adria_Tower"
"Worlds","182976","a1Dun_SpiderCave_02"
"Worlds","72882","trOUT_TownAttack"
"Worlds","70885","caOUT_Town"
"Worlds","109513","a4dun_Garden_of_Hope_01"
"Worlds","174434","A2_Swr_FCauseWay_01"
"Worlds","78839","trDun_ButchersLair_02"
"Worlds","75049","a1dun_Leor_Manor"
"Worlds","135713","a1dun_Labyrinth_01"
"Worlds","103910","a4dun_Garden3_SpireEntrance"
"Worlds","109561","a4dun_Diablo_Arena"
"Worlds","214956","a4dun_spire_exterior"
"Worlds","205399","a4dun_spire_DiabloEntrance"
"Worlds","60393","trdun_Cave_Nephalem_01"
"Worlds","60394","trdun_Cave_Nephalem_02"
"Worlds","60395","trdun_Cave_Nephalem_03"
"Worlds","94676","trDun_Jail_Level01"
"Worlds","87707","trOut_Highlands_DunExteriorA"
"Worlds","166640","a4Dun_LibraryOfFate"
"Worlds","182944","a4dun_Heaven_1000_Monsters_Fight_Entrance"
"Worlds","109143","a4dun_Heaven_1000_Monsters_Fight"
"Worlds","121214","a3dun_Azmodan_Arena"
"Worlds","95804","A3_Battlefields_02"
"Worlds","180550","a1Dun_SpiderCave_01"
"Worlds","93104","a3Dun_Keep_Level03"
"Worlds","81019","a3dun_rmpt_Level01"
"Worlds","119888","Fields_Cave_SwordOfJustice_Level01"
"Worlds","2826","trDun_Leoric_Level01"
"Worlds","58982","trDun_Leoric_Level02"
"Worlds","58983","trDun_Leoric_Level03"
"Worlds","211471","a1Dun_Random_Level01"
"Worlds","146619","a2Dun_Swr_Swr-to-Oasis_Level01"
"Worlds","50588","a2c1Dun_Swr_Caldeum_01"
"Worlds","123183","a2dun_Zolt_Blood02"
"Worlds","50613","a2Dun_Zolt_Lobby"
"Worlds","168230","PVP_TrainingGround"
"Worlds","170375","PVP_TrainingInn"
"Worlds","50716","PvP_Maze_Arena_01"
"Worlds","50719","PvP_Stairs_Arena_01"
"Worlds","50717","PvP_Octagon_Arena_01"
"Worlds","129123","PvP_Neph_Arena"
"Worlds","140638","PvP_CraterST_Arena"
"Worlds","81715","A2_Belial_Room_Intro"
"Worlds","60756","A2_Belial_Room_01"
"Worlds","195997","A2_Event_PriceOfMercy_Cellar"
"Worlds","196222","A2_Rockworm_Cellar_Cave"
"Worlds","140652","A2_Event_DyingMan_Mine"
"Worlds","50589","A2C2Dun_Cave_Random01"
"Worlds","2812","a2c2dun_Zolt_TreasureHunter"
"Worlds","220804","A2C2Dun_Cave_random01_Level02"
"Worlds","57491","a2c3Dun_Aqd_Oasis_Level01"
"Worlds","62776","a2dun_Aqd_Special_A"
"Worlds","62779","a2dun_Aqd_Special_B"
"Worlds","59486","a2dun_Aqd_Special_01"
"Worlds","157882","a2dun_Aqd_Oasis_RandomFacePuzzle_Small"
"Worlds","192640","a2dun_Aqd_Oasis_Level01"
"Worlds","192687","a2dun_Aqd_Oasis_Level00"
"Worlds","158593","a2dun_Aqd_Oasis_RandomFacePuzzle_Large"
"Worlds","218970","a2Dun_Boneyard_Worm_Cave_02"
"Worlds","111666","a2Dun_Boneyard_Worm_Cave_01"
"Worlds","86594","a2dun_Cald"
"Worlds","204628","a2Dun_Cave_BloodVial_01"
"Worlds","204674","a2Dun_Cave_BloodVial_02"
"Worlds","169477","a2Dun_Cave_MapDungeon_Level01"
"Worlds","194238","a2Dun_Cave_MapDungeon_Level02"
"Worlds","111376","a2dun_PortalRoulette_A"
"Worlds","58493","a2Dun_Swr_Adria_Level01"
"Worlds","80589","a2Dun_Zolt_Shadowrealm_Level01"
"Worlds","61631","a2dun_Zolt_Head_Random01"
"Worlds","222575","a2dun_Zolt_SW_Random01_Level02"
"Worlds","50594","a2dun_Zolt_SW_Random01"
"Worlds","50596","a2dun_Zolt_Timed01_Level01"
"Worlds","50610","a2Dun_Zolt_level01"
"Worlds","50611","a2Dun_Zolt_level02"
"Worlds","50612","a2Dun_Zolt_level03"
"Worlds","196036","a2dun_Zolt_Random_PortalRoulette_02"
"Worlds","60193","a2Dun_Zolt_BossFight_Level04"
"Worlds","62568","a2trDun_Cave_Oasis_Random01"
"Worlds","62569","a2trDun_Cave_Oasis_Random02"
"Worlds","161011","a2trDun_Cave_Oasis_Random02_Level02"
"Worlds","194240","a2trDun_Cave_Oasis_Random01_Level02"
"Worlds","226713","A3_Battlefields_03"
"Worlds","140444","a3dun_Bridge_Interior_Random01"
"Worlds","205422","a3dun_Bridge_Interior_Random02"
"Worlds","79401","a3dun_Crater_ST_Level01"
"Worlds","119641","a3dun_Crater_ST_Level01B"
"Worlds","119650","a3dun_Crater_ST_Level04B"
"Worlds","85201","a3dun_Crater_ST_Level04"
"Worlds","80763","a3dun_Crater_ST_Level02"
"Worlds","81934","a3Dun_Crater_Level_02"
"Worlds","81049","a3Dun_Crater_Level_01"
"Worlds","139272","a3dun_Crater_ST_Level02B"
"Worlds","119290","a3Dun_Crater_Level_03"
"Worlds","189910","a3dun_IceCaves_Timed_01"
"Worlds","189259","a3dun_IceCaves_Random_01"
"Worlds","221688","a3dun_IceCaves_Random_01_Level_02"
"Worlds","221689","a3dun_IceCaves_Timed_01_Level_02"
"Worlds","136415","a3Dun_Keep_Level05"
"Worlds","174516","a3Dun_Keep_random_01"
"Worlds","174555","a3Dun_Keep_random_02"
"Worlds","174560","a3Dun_Keep_random_03"
"Worlds","174665","a3Dun_Keep_random_04"
"Worlds","221748","a3Dun_Keep_random_01_Level_02"
"Worlds","221749","a3Dun_Keep_random_02_Level_02"
"Worlds","221750","a3Dun_Keep_random_03_Level_02"
"Worlds","221751","a3Dun_Keep_random_04_Level_02"
"Worlds","75434","a3Dun_Keep_Level04"
"Worlds","93099","a3Dun_rmpt_Level02"
"Worlds","153670","a4dun_Diablo_ShadowRealm_01"
"Worlds","196292","a4dun_Diablo_Arena_Phase3"
"Worlds","219659","a4dun_Garden_of_Hope_Random"
"Worlds","109525","a4dun_Hell_Portal_01"
"Worlds","109530","a4dun_Hell_Portal_02"
"Worlds","139965","a4dun_Sigil_A"
"Worlds","180517","a4dun_Sigil_D"
"Worlds","181644","a4dun_Sigil_C"
"Worlds","140709","a4dun_Sigil_B"
"Worlds","121579","a4dun_Spire_Level01"
"Worlds","129305","a4dun_Spire_Level02"
"Worlds","129306","a4dun_Spire_Level03"
"Worlds","210725","a4dun_Spire_Level04"
"Worlds","198281","a4dun_Spire_Level00"
"Worlds","112864","PvP_Cald_Swr_Ver2"
"Worlds","137439","PvP_Zolt_Ruins_Arena"
"Worlds","131908","PvP_Crypt_Arena_01"
"Worlds","225850","PvP_Keep_Arena"
"Worlds","50715","PvP_Map2"
"Worlds","102100","PvP_Butcher_Arena_01"
"Worlds","50718","PvP_Pillar_01"
"Worlds","227206","PvP_Garden_Arena"
"Worlds","79100","PvPcaOut_Arena_01"
"Worlds","139469","PvP_Crypt_Arena_02"
"Worlds","194282","BattleNet_PVPScreen"
"Worlds","50814","Tod_LoadScreen"
"Worlds","174449","trOut_Tristram_CainsHouse_Event"
"Worlds","167721","trOut_TownAttack_ChapelCellar_A"
"Worlds","82370","A1_Cave_Fields_MineCaveA_Level01"
"Worlds","82371","A1_Cave_Fields_MineCaveA_Level02"
"Worlds","81163","A1_Cave_Fields_ScavengerDen_Level01"
"Worlds","81164","A1_Cave_Fields_ScavengerDen_Level02"
"Worlds","82502","A1_Cave_Highlands_GoatCaveA_Level01"
"Worlds","82511","A1_Cave_Highlands_GoatCaveA_Level02"
"Worlds","132995","A1_Cave_Highlands_VendorRescue"
"Worlds","136900","caOut_Oasis_RandomCellar_1"
"Worlds","136932","caOut_Oasis_RandomCellar_2"
"Worlds","136936","caOut_Oasis_RandomCellar_3"
"Worlds","162790","caOut_Oasis_RandomCellar_4"
"Worlds","82076","Highlands_RandomDRLG_WestTower_Level01"
"Worlds","82313","Highlands_RandomDRLG_WestTower_Level02"
