"ItemSpecifier_","ItemSpecifier_I2","ItemSpecifier_I1","ItemSpecifier_GBIdAffixes_5","ItemSpecifier_GBIdAffixes_4","ItemSpecifier_GBIdAffixes_3","ItemSpecifier_GBIdAffixes_2","ItemSpecifier_GBIdAffixes_1","ItemSpecifier_GBIdAffixes_0","ItemSpecifier_I0","ItemSpecifier_ItemGBId","Id","I0","SNOSubTreasureClass","Percentage","I1","GBIdQualityClass","I2","I3","SNOCondition","I5","I6"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","114","0","51019","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","115","0","51019","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","116","0","51019","0.25","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","117","2","-1","0.02","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","118","0","99967","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1895762819","119","2","-1","1","0","-1","-1","-1","108087","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1895762820","120","2","-1","1","0","-1","-1","-1","108088","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1895762821","121","2","-1","1","0","-1","-1","-1","108089","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","122","0","51017","1","0","3646615","2","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","123","0","51017","1","0","3646615","17","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","124","0","51017","1","0","1148904500","30","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","125","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","126","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","127","0","51019","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","128","1","50945","1","0","-1","25","-1","50926","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1561062717","129","2","-1","1","0","-1","-1","-1","50918","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1561062718","130","2","-1","1","0","-1","-1","-1","50919","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1561062719","131","2","-1","1","0","-1","-1","-1","2829","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1561062720","132","2","-1","1","0","-1","-1","-1","50920","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1561062721","133","2","-1","1","0","-1","-1","-1","50921","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1085616825","134","2","-1","1","0","-1","-1","-1","157567","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1085616824","135","2","-1","1","0","-1","-1","-1","157568","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","136","0","50952","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","137","0","51039","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","138","0","120129","1","0","1148904500","15","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","139","0","120129","0.5","0","1148904500","39","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","140","0","120129","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-700459563","141","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","126259831","142","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","126259832","143","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","144","1","-1","0","60","-1","7","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","145","1","-1","0","20","-1","17","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","146","1","-1","0","50","-1","16","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","147","1","-1","0","50","-1","17","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","148","1","-1","0","20","-1","7","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","149","1","-1","1","0","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-714930281","150","2","-1","1","0","-1","-1","-1","204997","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","151","0","50951","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1708077021","152","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","126259831","153","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","126259832","154","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-733831369","155","0","177602","1","0","-1","81","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","156","0","177599","1","0","-1","16","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","157","0","177601","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","158","0","181758","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","159","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1815806857","160","0","177864","1","100","-1","32","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","161","0","177865","1","100","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","162","0","180255","1","100","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","163","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","164","0","177866","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1815806857","165","0","177867","1","0","-1","37","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-733831369","166","0","177868","1","0","-1","37","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","167","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1755180605","168","2","-1","1","0","-1","-1","-1","202857","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1310326700","169","2","-1","1","0","-1","-1","-1","202814","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","170","0","51017","1","0","3646615","2","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","171","0","51017","1","0","3646615","17","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","172","0","51017","1","0","1148904500","30","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","173","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","174","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","175","0","51019","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","176","0","150663","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","177","0","150663","0.3","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","178","1","-1","1","0","-330059359","24","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","179","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","180","1","-1","1","10","1100789659","33","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","181","1","-1","1","5","1100789659","34","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","182","1","-1","1","10","1100789659","93","-1","50926","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","183","1","-1","1","10","1100789659","92","-1","50929","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","184","1","-1","1","10","1100789659","86","-1","102014","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","185","1","-1","1","10","1100789659","52","-1","50930","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","186","1","-1","1","10","1100789659","78","-1","50927","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","187","1","-1","1","10","1100789659","31","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","188","1","-1","1","10","1100789659","30","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","189","1","-1","1","10","1100789659","50","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","190","1","-1","1","10","1100789659","28","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","191","1","-1","1","10","1100789659","29","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","192","0","51017","1","0","-768798318","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","193","0","51017","0.1","0","-1923740369","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","194","0","51017","0.01","0","-1923740369","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","195","0","51045","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","196","0","51044","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","197","2","-1","0.25","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","463155324","198","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","199","0","71244","1","6","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","504852499","200","2","-1","1","100","-1","-1","-1","162112","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","201","1","-1","0.01","1","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","202","1","-1","1","0","-1","59","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","203","1","-1","1","0","-1","59","-1","173774","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","204","0","51017","0.15","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","205","0","51019","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","206","0","51018","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1612257704","207","2","132555","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1533914304","208","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","2140880151","209","2","-1","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","1815806857","210","2","-1","0.25","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-733831369","211","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1266506293","212","2","-1","0.5","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","464105835","213","2","-1","1","100","-1","-1","-1","162111","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","214","1","-1","1","1","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","847944519","1","181031810","215","2","-1","1","0","-1","-1","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-768304375","216","2","50988","1","100","-1","-1","-1","202575","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","217","1","-1","1","1","-1","46","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","218","1","-1","0","100","-1","77","-1","-1","1","0"
"TRUE","0","0","-1","-1","-1","-1","-1","-1","0","-1","219","1","-1","1","50","-1","78","-1","-1","1","0"
