"SNOHandle_","Id","SNOHandle_Id","SpawnType","I0","I1","I2","I3"
"True","121","6024","Normal","3","4","8","8"
"True","122","6024","Normal","5","6","20","20"
"True","123","6035","Normal","2","3","0","0"
"True","124","6024","Rare","1","1","0","25"
"True","125","6035","Champion","3","3","0","25"
"True","126","6024","Champion","4","5","0","25"
"True","127","5387","Normal","1","1","10","10"
"True","128","5393","Normal","1","2","30","30"
"True","129","4156","Normal","5","7","2","5"
"True","130","6356","Normal","1","2","10","20"
"True","131","5387","Normal","2","3","10","10"
"True","132","5393","Normal","1","2","30","30"
"True","133","6356","Normal","1","1","0","0"
"True","134","6356","Normal","1","1","0","0"
"True","135","5393","Normal","1","2","10","10"
"True","136","5393","Rare","1","1","40","50"
"True","137","6356","Rare","1","1","40","50"
"True","138","4156","Rare","1","1","40","50"
"True","139","5393","Champion","3","4","40","50"
"True","140","4156","Champion","3","4","40","50"
"True","141","165955","Normal","1","1","0","0"
"True","142","5346","Normal","1","2","0","2"
"True","143","5393","Normal","2","3","10","10"
"True","144","4156","Normal","5","7","2","9"
"True","145","3848","Normal","1","1","0","0"
"True","146","5346","Normal","1","1","0","2"
"True","147","5275","Normal","3","3","5","5"
"True","148","3848","Rare","1","1","0","10"
"True","149","5393","Rare","1","1","0","10"
"True","150","4156","Rare","1","1","10","20"
"True","151","5346","Rare","1","1","0","10"
"True","152","5393","Champion","3","5","0","10"
"True","153","5346","Champion","3","4","0","10"
"True","154","4156","Champion","3","5","10","20"
"True","155","165955","Normal","1","1","0","0"
"True","156","5346","Normal","2","4","0","0"
"True","157","5393","Normal","4","6","3","3"
"True","158","4156","Normal","7","9","0","1"
"True","159","3848","Normal","1","3","0","0"
"True","160","5346","Normal","4","6","0","0"
"True","161","5275","Normal","6","7","3","3"
"True","162","165955","Normal","1","1","10","20"
"True","163","3848","Rare","1","1","0","10"
"True","164","5393","Rare","1","1","0","10"
"True","165","4156","Rare","1","1","10","20"
"True","166","5346","Rare","1","1","0","10"
"True","167","5393","Champion","3","5","0","10"
"True","168","5346","Champion","3","4","0","10"
"True","169","4156","Champion","3","5","10","20"
"True","170","6646","Normal","2","4","300","300"
"True","171","4156","Normal","2","4","10","10"
"True","172","3847","Normal","1","1","0","0"
"True","173","6646","Normal","10","12","300","300"
"True","174","4156","Normal","5","8","10","20"
"True","175","3847","Normal","1","1","0","0"
"True","176","6646","Normal","7","10","25","25"
"True","177","4156","Rare","1","1","0","25"
"True","178","6646","Rare","1","1","0","25"
"True","179","6646","Champion","3","5","0","25"
"True","180","4156","Champion","5","7","0","25"
"True","181","165955","Normal","1","1","0","0"
"True","182","5236","Normal","4","6","5","15"
"True","183","4283","Normal","2","3","10","10"
"True","184","4290","Normal","1","1","0","0"
"True","185","4283","Normal","3","5","50","75"
"True","186","4286","Normal","2","3","25","50"
"True","187","4290","Normal","1","1","0","0"
"True","188","3337","Normal","1","1","0","0"
"True","189","4283","Rare","1","1","0","25"
"True","190","4287","Rare","1","1","0","25"
"True","191","5236","Rare","1","1","5","15"
"True","192","4283","Champion","3","3","5","15"
"True","193","4282","Champion","3","3","0","25"
"True","194","4286","Champion","3","3","0","25"
"True","195","6500","Champion","3","3","0","25"
"True","196","165955","Normal","1","1","0","0"
"True","197","6644","Normal","3","4","2","2"
"True","198","6652","Normal","1","1","0","0"
"True","199","6644","Rare","1","1","0","0"
"True","200","6652","Rare","1","1","0","0"
"True","201","6644","Champion","1","1","0","25"
"True","202","6652","Champion","1","1","0","25"
"True","203","6035","Normal","1","2","0","0"
"True","204","6059","Normal","1","1","8","8"
"True","205","4283","Normal","2","3","50","50"
"True","206","4290","Normal","1","1","10","10"
"True","207","6024","Normal","1","1","0","0"
"True","208","4283","Normal","2","3","15","15"
"True","209","6024","Normal","1","1","0","0"
"True","210","4283","Normal","3","5","50","75"
"True","211","4286","Normal","2","3","20","50"
"True","212","4290","Normal","1","1","0","0"
"True","213","6059","Rare","1","1","0","0"
"True","214","6035","Rare","1","1","0","25"
"True","215","6500","Rare","1","1","0","25"
"True","216","6024","Rare","1","1","5","15"
"True","217","3338","Rare","1","1","0","25"
"True","218","6024","Champion","3","3","0","25"
"True","219","3338","Champion","3","3","0","25"
"True","220","165955","Normal","1","1","0","0"
"True","221","6024","Normal","3","4","0","25"
"True","222","6024","Rare","1","1","0","25"
"True","223","6024","Champion","3","5","0","25"
"True","224","6024","Normal","3","4","5","10"
"True","225","6024","Normal","1","1","0","25"
"True","226","6024","Normal","3","4","0","25"
"True","227","6024","Rare","1","1","0","25"
"True","228","6024","Normal","1","3","0","25"
"True","229","6035","Normal","0","1","0","25"
"True","230","6035","Normal","1","2","0","25"
"True","231","6059","Normal","1","2","0","25"
"True","232","6644","Normal","2","3","2","9"
"True","233","6652","Normal","1","1","0","0"
"True","234","4982","Normal","2","3","2","8"
"True","235","6644","Normal","1","3","3","11"
"True","236","6644","Normal","2","3","10","20"
"True","237","6652","Normal","1","1","0","0"
"True","238","6644","Normal","1","2","10","20"
"True","239","6644","Normal","3","5","0","25"
"True","240","6652","Normal","1","2","0","25"
"True","241","6646","Normal","3","5","0","10"
"True","242","6639","Normal","0","1","0","10"
"True","243","60069","Normal","2","3","0","5"
"True","244","5235","Normal","3","5","10","35"
"True","245","4982","Normal","2","5","4","25"
"True","246","6644","Normal","2","3","5","15"
"True","247","6652","Normal","1","1","5","15"
"True","248","5235","Normal","1","3","0","25"
"True","249","4156","Normal","3","5","0","25"
"True","250","4152","Normal","1","1","0","25"
"True","251","4156","Normal","3","5","0","25"
"True","252","5235","Normal","7","11","0","25"
"True","253","4156","Normal","1","2","0","25"
"True","254","165955","Normal","1","1","0","25"
"True","255","5235","Champion","5","6","0","0"
"True","256","4156","Champion","5","7","0","0"
"True","257","5235","Rare","1","1","0","0"
"True","258","4156","Rare","1","1","0","0"
"True","259","6646","Champion","3","4","0","25"
"True","260","4157","Normal","2","4","0","25"
"True","261","5235","Normal","3","5","0","25"
"True","262","6646","Normal","2","4","0","25"
"True","263","6646","Rare","1","1","0","0"
"True","264","6646","Normal","3","5","0","25"
"True","265","6652","Normal","1","2","3","6"
"True","266","6644","Normal","3","5","3","6"
"True","267","165955","Normal","1","1","0","0"
"True","268","6644","Rare","1","1","0","0"
"True","269","6652","Rare","1","1","0","0"
"True","270","6644","Rare","1","1","0","0"
"True","271","6652","Rare","1","1","0","0"
"True","272","6652","Normal","1","2","3","6"
"True","273","6644","Normal","3","5","3","6"
"True","274","6644","Rare","1","1","0","0"
"True","275","6652","Rare","1","1","0","0"
"True","276","6652","Normal","1","2","3","6"
"True","277","6644","Normal","3","5","3","6"
"True","278","6652","Normal","1","2","3","6"
"True","279","6644","Normal","3","5","3","6"
"True","280","6644","Rare","1","1","0","0"
"True","281","6652","Rare","1","1","0","0"
"True","282","6646","Normal","3","4","10","20"
"True","283","3847","Normal","1","1","5","10"
"True","284","131280","Normal","1","3","2","2"
"True","285","4156","Normal","4","7","1","15"
"True","286","131278","Normal","1","3","2","2"
"True","287","6646","Rare","1","1","0","0"
"True","288","131280","Rare","1","1","0","0"
"True","289","4156","Rare","1","1","0","0"
"True","290","131278","Rare","1","1","0","0"
"True","291","3847","Rare","1","1","0","0"
"True","292","131278","Champion","3","3","0","9"
"True","293","4156","Champion","3","3","0","9"
"True","294","131280","Champion","3","3","0","9"
"True","295","6646","Champion","3","3","0","9"
"True","296","3847","Champion","3","3","0","9"
"True","297","6653","Normal","2","4","10","20"
"True","298","3893","Normal","4","6","1","1"
"True","299","131278","Normal","0","2","0","25"
"True","300","131280","Normal","0","2","0","25"
"True","301","3848","Normal","1","1","1","1"
"True","302","6639","Normal","1","3","2","2"
"True","303","6653","Normal","2","3","20","20"
"True","304","6639","Normal","1","1","0","0"
"True","305","6646","Normal","2","3","5","5"
"True","306","6653","Rare","1","1","0","0"
"True","307","6646","Rare","1","1","0","0"
"True","308","6639","Rare","1","1","0","0"
"True","309","131278","Rare","1","1","0","0"
"True","310","131280","Rare","1","1","0","0"
"True","311","6653","Champion","3","3","0","9"
"True","312","3893","Champion","5","6","0","9"
"True","313","6646","Champion","3","3","0","9"
"True","314","131278","Champion","3","3","0","9"
"True","315","131280","Champion","3","3","0","9"
"True","316","5393","Normal","2","3","0","5"
"True","317","5387","Normal","2","2","1","1"
"True","318","5393","Normal","2","3","15","15"
"True","319","5387","Champion","1","1","0","0"
"True","320","5393","Champion","1","1","0","0"
"True","321","5393","Normal","3","4","3","5"
"True","322","3893","Normal","4","6","3","5"
"True","323","131280","Normal","0","2","0","0"
"True","324","131278","Normal","0","2","3","3"
"True","325","4156","Normal","4","7","1","3"
"True","326","3893","Rare","1","1","0","0"
"True","327","5393","Rare","1","1","0","0"
"True","328","4156","Rare","1","1","0","0"
"True","329","5393","Champion","3","3","0","0"
"True","330","3893","Champion","3","3","0","0"
"True","331","4156","Champion","3","3","0","0"
"True","332","165955","Normal","1","1","10","20"
"True","333","6653","Normal","2","4","1","1"
"True","334","3893","Normal","4","6","2","2"
"True","335","131278","Normal","0","2","1","2"
"True","336","131280","Normal","0","2","1","2"
"True","337","3847","Normal","2","3","1","1"
"True","338","6639","Normal","2","3","1","1"
"True","339","6646","Normal","4","5","2","2"
"True","340","6653","Normal","1","2","5","5"
"True","341","6639","Normal","0","1","0","0"
"True","342","6646","Normal","3","5","10","10"
"True","343","3893","Rare","1","1","0","0"
"True","344","6653","Rare","1","1","0","0"
"True","345","6646","Rare","1","1","0","0"
"True","346","6639","Rare","1","1","0","0"
"True","347","3847","Rare","1","1","0","0"
"True","348","3893","Champion","3","3","0","0"
"True","349","6653","Champion","3","3","0","0"
"True","350","6646","Champion","3","3","0","0"
"True","351","6639","Champion","3","3","0","0"
"True","352","3847","Champion","3","3","0","0"
"True","353","165955","Normal","1","1","0","0"
"True","354","5393","Normal","3","4","1","3"
"True","355","5235","Normal","4","6","1","3"
"True","356","131278","Normal","1","2","0","0"
"True","357","131280","Normal","1","2","3","3"
"True","358","3893","Normal","4","7","3","3"
"True","359","5235","Rare","1","1","0","0"
"True","360","5393","Rare","1","1","0","0"
"True","361","3893","Rare","1","1","0","0"
"True","362","5235","Champion","3","3","0","15"
"True","363","5393","Champion","3","3","0","15"
"True","364","3893","Champion","3","3","0","15"
"True","365","165955","Normal","1","1","0","0"
"True","366","6651","Normal","3","4","10","25"
"True","367","6638","Normal","1","1","0","25"
"True","368","6638","Normal","2","3","10","25"
"True","369","6651","Normal","3","5","22","66"
"True","370","204256","Normal","1","2","0","25"
"True","371","4156","Normal","3","5","20","30"
"True","372","4156","Normal","3","5","10","25"
"True","373","6356","Normal","1","1","10","25"
"True","374","204256","Rare","1","1","10","25"
"True","375","6651","Rare","1","1","0","0"
"True","376","6651","Normal","3","4","10","25"
"True","377","6638","Normal","3","4","10","25"
"True","378","4156","Normal","3","5","20","30"
"True","379","6638","Normal","5","6","10","25"
"True","380","6651","Normal","5","7","10","25"
"True","381","6638","Normal","7","9","10","25"
"True","382","4156","Normal","3","5","10","25"
"True","383","6651","Rare","1","1","10","25"
"True","384","6356","Normal","1","1","10","25"
"True","385","4156","Champion","3","3","0","9"
"True","386","6651","Champion","3","3","0","9"
"True","387","4156","Rare","1","1","0","0"
"True","388","4282","Normal","2","3","0","25"
"True","389","6052","Champion","3","3","0","25"
"True","390","6024","Champion","4","5","0","25"
"True","391","165955","Normal","1","1","0","0"
